시점,저출산율,지역별
2000.01,1.60,강원
2000.02,1.58,강원
2000.03,1.57,강원
2000.04,1.55,강원
2000.05,1.54,강원
2000.06,1.52,강원
2000.07,1.51,강원
2000.08,1.49,강원
2000.09,1.48,강원
2000.10,1.46,강원
2000.11,1.44,강원
2000.12,1.43,강원
2001.01,1.41,강원
2001.02,1.41,강원
2001.03,1.40,강원
2001.04,1.39,강원
2001.05,1.38,강원
2001.06,1.37,강원
2001.07,1.36,강원
2001.08,1.36,강원
2001.09,1.35,강원
2001.10,1.34,강원
2001.11,1.33,강원
2001.12,1.32,강원
2002.01,1.32,강원
2002.02,1.31,강원
2002.03,1.31,강원
2002.04,1.31,강원
2002.05,1.30,강원
2002.06,1.30,강원
2002.07,1.30,강원
2002.08,1.29,강원
2002.09,1.29,강원
2002.10,1.29,강원
2002.11,1.29,강원
2002.12,1.28,강원
2003.01,1.28,강원
2003.02,1.28,강원
2003.03,1.28,강원
2003.04,1.27,강원
2003.05,1.27,강원
2003.06,1.27,강원
2003.07,1.27,강원
2003.08,1.27,강원
2003.09,1.27,강원
2003.10,1.27,강원
2003.11,1.26,강원
2003.12,1.26,강원
2004.01,1.26,강원
2004.02,1.25,강원
2004.03,1.25,강원
2004.04,1.24,강원
2004.05,1.24,강원
2004.06,1.23,강원
2004.07,1.22,강원
2004.08,1.22,강원
2004.09,1.21,강원
2004.10,1.21,강원
2004.11,1.20,강원
2004.12,1.19,강원
2005.01,1.19,강원
2005.02,1.19,강원
2005.03,1.19,강원
2005.04,1.19,강원
2005.05,1.19,강원
2005.06,1.19,강원
2005.07,1.19,강원
2005.08,1.20,강원
2005.09,1.20,강원
2005.10,1.20,강원
2005.11,1.20,강원
2005.12,1.20,강원
2006.01,1.20,강원
2006.02,1.21,강원
2006.03,1.23,강원
2006.04,1.24,강원
2006.05,1.25,강원
2006.06,1.27,강원
2006.07,1.28,강원
2006.08,1.29,강원
2006.09,1.30,강원
2006.10,1.32,강원
2006.11,1.33,강원
2006.12,1.34,강원
2007.01,1.36,강원
2007.02,1.35,강원
2007.03,1.34,강원
2007.04,1.33,강원
2007.05,1.32,강원
2007.06,1.31,강원
2007.07,1.30,강원
2007.08,1.30,강원
2007.09,1.29,강원
2007.10,1.28,강원
2007.11,1.27,강원
2007.12,1.26,강원
2008.01,1.25,강원
2008.02,1.25,강원
2008.03,1.25,강원
2008.04,1.25,강원
2008.05,1.25,강원
2008.06,1.25,강원
2008.07,1.25,강원
2008.08,1.25,강원
2008.09,1.25,강원
2008.10,1.25,강원
2008.11,1.25,강원
2008.12,1.25,강원
2009.01,1.25,강원
2009.02,1.25,강원
2009.03,1.26,강원
2009.04,1.26,강원
2009.05,1.27,강원
2009.06,1.28,강원
2009.07,1.28,강원
2009.08,1.29,강원
2009.09,1.29,강원
2009.10,1.30,강원
2009.11,1.30,강원
2009.12,1.31,강원
2010.01,1.31,강원
2010.02,1.32,강원
2010.03,1.32,강원
2010.04,1.32,강원
2010.05,1.32,강원
2010.06,1.32,강원
2010.07,1.33,강원
2010.08,1.33,강원
2010.09,1.33,강원
2010.10,1.33,강원
2010.11,1.33,강원
2010.12,1.34,강원
2011.01,1.34,강원
2011.02,1.34,강원
2011.03,1.34,강원
2011.04,1.35,강원
2011.05,1.35,강원
2011.06,1.35,강원
2011.07,1.36,강원
2011.08,1.36,강원
2011.09,1.36,강원
2011.10,1.37,강원
2011.11,1.37,강원
2011.12,1.37,강원
2012.01,1.37,강원
2012.02,1.36,강원
2012.03,1.35,강원
2012.04,1.34,강원
2012.05,1.33,강원
2012.06,1.32,강원
2012.07,1.31,강원
2012.08,1.30,강원
2012.09,1.29,강원
2012.10,1.28,강원
2012.11,1.27,강원
2012.12,1.26,강원
2013.01,1.25,강원
2013.02,1.25,강원
2013.03,1.25,강원
2013.04,1.25,강원
2013.05,1.25,강원
2013.06,1.25,강원
2013.07,1.25,강원
2013.08,1.25,강원
2013.09,1.25,강원
2013.10,1.25,강원
2013.11,1.25,강원
2013.12,1.25,강원
2014.01,1.25,강원
2014.02,1.25,강원
2014.03,1.26,강원
2014.04,1.26,강원
2014.05,1.27,강원
2014.06,1.27,강원
2014.07,1.28,강원
2014.08,1.28,강원
2014.09,1.29,강원
2014.10,1.30,강원
2014.11,1.30,강원
2014.12,1.31,강원
2015.01,1.31,강원
2015.02,1.30,강원
2015.03,1.30,강원
2015.04,1.29,강원
2015.05,1.29,강원
2015.06,1.28,강원
2015.07,1.27,강원
2015.08,1.27,강원
2015.09,1.26,강원
2015.10,1.26,강원
2015.11,1.25,강원
2015.12,1.24,강원
2016.01,1.24,강원
2016.02,1.23,강원
2016.03,1.22,강원
2016.04,1.21,강원
2016.05,1.20,강원
2016.06,1.19,강원
2016.07,1.18,강원
2016.08,1.17,강원
2016.09,1.16,강원
2016.10,1.15,강원
2016.11,1.14,강원
2016.12,1.13,강원
2017.01,1.12,강원
2017.02,1.12,강원
2017.03,1.11,강원
2017.04,1.11,강원
2017.05,1.10,강원
2017.06,1.10,강원
2017.07,1.09,강원
2017.08,1.09,강원
2017.09,1.09,강원
2017.10,1.08,강원
2017.11,1.08,강원
2017.12,1.07,강원
2018.01,1.07,강원
2018.02,1.07,강원
2018.03,1.07,강원
2018.04,1.07,강원
2018.05,1.07,강원
2018.06,1.07,강원
2018.07,1.07,강원
2018.08,1.08,강원
2018.09,1.08,강원
2018.10,1.08,강원
2018.11,1.08,강원
2018.12,1.08,강원
2019.01,1.08,강원
2019.02,1.08,강원
2019.03,1.07,강원
2019.04,1.07,강원
2019.05,1.07,강원
2019.06,1.06,강원
2019.07,1.06,강원
2019.08,1.06,강원
2019.09,1.05,강원
2019.10,1.05,강원
2019.11,1.04,강원
2019.12,1.04,강원
2020.01,1.04,강원
2020.02,1.03,강원
2020.03,1.03,강원
2020.04,1.02,강원
2020.05,1.02,강원
2020.06,1.01,강원
2020.07,1.01,강원
2020.08,1.00,강원
2020.09,1.00,강원
2020.10,0.99,강원
2020.11,0.99,강원
2020.12,0.98,강원
2021.01,0.98,강원
2021.02,0.98,강원
2021.03,0.98,강원
2021.04,0.98,강원
2021.05,0.98,강원
2021.06,0.97,강원
2021.07,0.97,강원
2021.08,0.97,강원
2021.09,0.97,강원
2021.10,0.97,강원
2021.11,0.97,강원
2021.12,0.97,강원
2022.01,0.97,강원
2022.02,0.96,강원
2022.03,0.96,강원
2022.04,0.95,강원
2022.05,0.94,강원
2022.06,0.94,강원
2022.07,0.93,강원
2022.08,0.92,강원
2022.09,0.92,강원
2022.10,0.91,강원
2022.11,0.91,강원
2022.12,0.90,강원
2023.01,0.89,강원
2000.01,1.63,경기
2000.02,1.61,경기
2000.03,1.60,경기
2000.04,1.58,경기
2000.05,1.56,경기
2000.06,1.55,경기
2000.07,1.53,경기
2000.08,1.52,경기
2000.09,1.50,경기
2000.10,1.48,경기
2000.11,1.47,경기
2000.12,1.45,경기
2001.01,1.44,경기
2001.02,1.43,경기
2001.03,1.42,경기
2001.04,1.40,경기
2001.05,1.39,경기
2001.06,1.38,경기
2001.07,1.37,경기
2001.08,1.36,경기
2001.09,1.35,경기
2001.10,1.34,경기
2001.11,1.33,경기
2001.12,1.32,경기
2002.01,1.30,경기
2002.02,1.31,경기
2002.03,1.31,경기
2002.04,1.31,경기
2002.05,1.31,경기
2002.06,1.31,경기
2002.07,1.31,경기
2002.08,1.31,경기
2002.09,1.32,경기
2002.10,1.32,경기
2002.11,1.32,경기
2002.12,1.32,경기
2003.01,1.32,경기
2003.02,1.32,경기
2003.03,1.31,경기
2003.04,1.31,경기
2003.05,1.31,경기
2003.06,1.30,경기
2003.07,1.30,경기
2003.08,1.30,경기
2003.09,1.29,경기
2003.10,1.29,경기
2003.11,1.29,경기
2003.12,1.28,경기
2004.01,1.28,경기
2004.02,1.27,경기
2004.03,1.26,경기
2004.04,1.26,경기
2004.05,1.25,경기
2004.06,1.24,경기
2004.07,1.23,경기
2004.08,1.22,경기
2004.09,1.22,경기
2004.10,1.21,경기
2004.11,1.20,경기
2004.12,1.19,경기
2005.01,1.18,경기
2005.02,1.19,경기
2005.03,1.19,경기
2005.04,1.20,경기
2005.05,1.20,경기
2005.06,1.21,경기
2005.07,1.21,경기
2005.08,1.22,경기
2005.09,1.22,경기
2005.10,1.23,경기
2005.11,1.23,경기
2005.12,1.23,경기
2006.01,1.24,경기
2006.02,1.25,경기
2006.03,1.26,경기
2006.04,1.27,경기
2006.05,1.28,경기
2006.06,1.29,경기
2006.07,1.30,경기
2006.08,1.31,경기
2006.09,1.32,경기
2006.10,1.33,경기
2006.11,1.34,경기
2006.12,1.35,경기
2007.01,1.36,경기
2007.02,1.35,경기
2007.03,1.35,경기
2007.04,1.34,경기
2007.05,1.34,경기
2007.06,1.33,경기
2007.07,1.32,경기
2007.08,1.32,경기
2007.09,1.31,경기
2007.10,1.30,경기
2007.11,1.30,경기
2007.12,1.29,경기
2008.01,1.28,경기
2008.02,1.28,경기
2008.03,1.28,경기
2008.04,1.27,경기
2008.05,1.27,경기
2008.06,1.26,경기
2008.07,1.26,경기
2008.08,1.25,경기
2008.09,1.25,경기
2008.10,1.24,경기
2008.11,1.24,경기
2008.12,1.23,경기
2009.01,1.23,경기
2009.02,1.23,경기
2009.03,1.24,경기
2009.04,1.25,경기
2009.05,1.25,경기
2009.06,1.26,경기
2009.07,1.27,경기
2009.08,1.27,경기
2009.09,1.28,경기
2009.10,1.29,경기
2009.11,1.30,경기
2009.12,1.30,경기
2010.01,1.31,경기
2010.02,1.31,경기
2010.03,1.31,경기
2010.04,1.31,경기
2010.05,1.31,경기
2010.06,1.31,경기
2010.07,1.31,경기
2010.08,1.31,경기
2010.09,1.31,경기
2010.10,1.31,경기
2010.11,1.31,경기
2010.12,1.31,경기
2011.01,1.31,경기
2011.02,1.32,경기
2011.03,1.32,경기
2011.04,1.32,경기
2011.05,1.33,경기
2011.06,1.33,경기
2011.07,1.33,경기
2011.08,1.34,경기
2011.09,1.34,경기
2011.10,1.34,경기
2011.11,1.35,경기
2011.12,1.35,경기
2012.01,1.35,경기
2012.02,1.34,경기
2012.03,1.33,경기
2012.04,1.32,경기
2012.05,1.31,경기
2012.06,1.30,경기
2012.07,1.29,경기
2012.08,1.28,경기
2012.09,1.27,경기
2012.10,1.26,경기
2012.11,1.25,경기
2012.12,1.24,경기
2013.01,1.23,경기
2013.02,1.23,경기
2013.03,1.23,경기
2013.04,1.23,경기
2013.05,1.23,경기
2013.06,1.23,경기
2013.07,1.23,경기
2013.08,1.23,경기
2013.09,1.24,경기
2013.10,1.24,경기
2013.11,1.24,경기
2013.12,1.24,경기
2014.01,1.24,경기
2014.02,1.24,경기
2014.03,1.25,경기
2014.04,1.25,경기
2014.05,1.25,경기
2014.06,1.25,경기
2014.07,1.26,경기
2014.08,1.26,경기
2014.09,1.26,경기
2014.10,1.26,경기
2014.11,1.27,경기
2014.12,1.27,경기
2015.01,1.27,경기
2015.02,1.27,경기
2015.03,1.26,경기
2015.04,1.25,경기
2015.05,1.25,경기
2015.06,1.24,경기
2015.07,1.23,경기
2015.08,1.23,경기
2015.09,1.22,경기
2015.10,1.21,경기
2015.11,1.21,경기
2015.12,1.20,경기
2016.01,1.19,경기
2016.02,1.18,경기
2016.03,1.17,경기
2016.04,1.16,경기
2016.05,1.15,경기
2016.06,1.14,경기
2016.07,1.13,경기
2016.08,1.12,경기
2016.09,1.11,경기
2016.10,1.10,경기
2016.11,1.09,경기
2016.12,1.08,경기
2017.01,1.07,경기
2017.02,1.06,경기
2017.03,1.06,경기
2017.04,1.05,경기
2017.05,1.05,경기
2017.06,1.04,경기
2017.07,1.04,경기
2017.08,1.03,경기
2017.09,1.02,경기
2017.10,1.02,경기
2017.11,1.01,경기
2017.12,1.01,경기
2018.01,1.00,경기
2018.02,1.00,경기
2018.03,0.99,경기
2018.04,0.99,경기
2018.05,0.98,경기
2018.06,0.98,경기
2018.07,0.97,경기
2018.08,0.97,경기
2018.09,0.96,경기
2018.10,0.96,경기
2018.11,0.95,경기
2018.12,0.95,경기
2019.01,0.94,경기
2019.02,0.94,경기
2019.03,0.93,경기
2019.04,0.93,경기
2019.05,0.92,경기
2019.06,0.92,경기
2019.07,0.91,경기
2019.08,0.91,경기
2019.09,0.90,경기
2019.10,0.89,경기
2019.11,0.89,경기
2019.12,0.88,경기
2020.01,0.88,경기
2020.02,0.88,경기
2020.03,0.87,경기
2020.04,0.87,경기
2020.05,0.87,경기
2020.06,0.87,경기
2020.07,0.87,경기
2020.08,0.86,경기
2020.09,0.86,경기
2020.10,0.86,경기
2020.11,0.86,경기
2020.12,0.86,경기
2021.01,0.85,경기
2021.02,0.85,경기
2021.03,0.85,경기
2021.04,0.85,경기
2021.05,0.85,경기
2021.06,0.85,경기
2021.07,0.85,경기
2021.08,0.84,경기
2021.09,0.84,경기
2021.10,0.84,경기
2021.11,0.84,경기
2021.12,0.84,경기
2022.01,0.84,경기
2022.02,0.83,경기
2022.03,0.83,경기
2022.04,0.82,경기
2022.05,0.81,경기
2022.06,0.81,경기
2022.07,0.80,경기
2022.08,0.80,경기
2022.09,0.79,경기
2022.10,0.78,경기
2022.11,0.78,경기
2022.12,0.77,경기
2023.01,0.77,경기
2000.01,1.59,경남
2000.02,1.57,경남
2000.03,1.56,경남
2000.04,1.54,경남
2000.05,1.53,경남
2000.06,1.52,경남
2000.07,1.50,경남
2000.08,1.49,경남
2000.09,1.47,경남
2000.10,1.46,경남
2000.11,1.45,경남
2000.12,1.43,경남
2001.01,1.42,경남
2001.02,1.40,경남
2001.03,1.39,경남
2001.04,1.38,경남
2001.05,1.37,경남
2001.06,1.36,경남
2001.07,1.34,경남
2001.08,1.33,경남
2001.09,1.32,경남
2001.10,1.31,경남
2001.11,1.30,경남
2001.12,1.28,경남
2002.01,1.27,경남
2002.02,1.27,경남
2002.03,1.27,경남
2002.04,1.28,경남
2002.05,1.28,경남
2002.06,1.28,경남
2002.07,1.28,경남
2002.08,1.28,경남
2002.09,1.28,경남
2002.10,1.29,경남
2002.11,1.29,경남
2002.12,1.29,경남
2003.01,1.29,경남
2003.02,1.29,경남
2003.03,1.29,경남
2003.04,1.28,경남
2003.05,1.28,경남
2003.06,1.28,경남
2003.07,1.28,경남
2003.08,1.28,경남
2003.09,1.27,경남
2003.10,1.27,경남
2003.11,1.27,경남
2003.12,1.27,경남
2004.01,1.27,경남
2004.02,1.26,경남
2004.03,1.25,경남
2004.04,1.25,경남
2004.05,1.24,경남
2004.06,1.23,경남
2004.07,1.23,경남
2004.08,1.22,경남
2004.09,1.21,경남
2004.10,1.21,경남
2004.11,1.20,경남
2004.12,1.20,경남
2005.01,1.19,경남
2005.02,1.19,경남
2005.03,1.20,경남
2005.04,1.21,경남
2005.05,1.21,경남
2005.06,1.22,경남
2005.07,1.22,경남
2005.08,1.23,경남
2005.09,1.23,경남
2005.10,1.24,경남
2005.11,1.24,경남
2005.12,1.25,경남
2006.01,1.25,경남
2006.02,1.27,경남
2006.03,1.28,경남
2006.04,1.30,경남
2006.05,1.31,경남
2006.06,1.33,경남
2006.07,1.34,경남
2006.08,1.36,경남
2006.09,1.37,경남
2006.10,1.39,경남
2006.11,1.40,경남
2006.12,1.42,경남
2007.01,1.43,경남
2007.02,1.43,경남
2007.03,1.42,경남
2007.04,1.42,경남
2007.05,1.41,경남
2007.06,1.41,경남
2007.07,1.40,경남
2007.08,1.40,경남
2007.09,1.39,경남
2007.10,1.38,경남
2007.11,1.38,경남
2007.12,1.37,경남
2008.01,1.37,경남
2008.02,1.36,경남
2008.03,1.36,경남
2008.04,1.36,경남
2008.05,1.35,경남
2008.06,1.35,경남
2008.07,1.35,경남
2008.08,1.34,경남
2008.09,1.34,경남
2008.10,1.33,경남
2008.11,1.33,경남
2008.12,1.33,경남
2009.01,1.32,경남
2009.02,1.33,경남
2009.03,1.34,경남
2009.04,1.35,경남
2009.05,1.35,경남
2009.06,1.36,경남
2009.07,1.37,경남
2009.08,1.38,경남
2009.09,1.38,경남
2009.10,1.39,경남
2009.11,1.40,경남
2009.12,1.41,경남
2010.01,1.41,경남
2010.02,1.42,경남
2010.03,1.42,경남
2010.04,1.42,경남
2010.05,1.42,경남
2010.06,1.43,경남
2010.07,1.43,경남
2010.08,1.43,경남
2010.09,1.44,경남
2010.10,1.44,경남
2010.11,1.44,경남
2010.12,1.44,경남
2011.01,1.45,경남
2011.02,1.45,경남
2011.03,1.46,경남
2011.04,1.46,경남
2011.05,1.46,경남
2011.06,1.47,경남
2011.07,1.47,경남
2011.08,1.48,경남
2011.09,1.48,경남
2011.10,1.49,경남
2011.11,1.49,경남
2011.12,1.50,경남
2012.01,1.50,경남
2012.02,1.49,경남
2012.03,1.48,경남
2012.04,1.47,경남
2012.05,1.46,경남
2012.06,1.45,경남
2012.07,1.44,경남
2012.08,1.42,경남
2012.09,1.41,경남
2012.10,1.40,경남
2012.11,1.39,경남
2012.12,1.38,경남
2013.01,1.37,경남
2013.02,1.37,경남
2013.03,1.37,경남
2013.04,1.38,경남
2013.05,1.38,경남
2013.06,1.38,경남
2013.07,1.39,경남
2013.08,1.39,경남
2013.09,1.40,경남
2013.10,1.40,경남
2013.11,1.40,경남
2013.12,1.41,경남
2014.01,1.41,경남
2014.02,1.41,경남
2014.03,1.41,경남
2014.04,1.42,경남
2014.05,1.42,경남
2014.06,1.42,경남
2014.07,1.42,경남
2014.08,1.43,경남
2014.09,1.43,경남
2014.10,1.43,경남
2014.11,1.43,경남
2014.12,1.43,경남
2015.01,1.44,경남
2015.02,1.43,경남
2015.03,1.42,경남
2015.04,1.42,경남
2015.05,1.41,경남
2015.06,1.40,경남
2015.07,1.40,경남
2015.08,1.39,경남
2015.09,1.38,경남
2015.10,1.38,경남
2015.11,1.37,경남
2015.12,1.36,경남
2016.01,1.36,경남
2016.02,1.35,경남
2016.03,1.34,경남
2016.04,1.33,경남
2016.05,1.31,경남
2016.06,1.30,경남
2016.07,1.29,경남
2016.08,1.28,경남
2016.09,1.27,경남
2016.10,1.26,경남
2016.11,1.25,경남
2016.12,1.24,경남
2017.01,1.23,경남
2017.02,1.22,경남
2017.03,1.21,경남
2017.04,1.20,경남
2017.05,1.19,경남
2017.06,1.18,경남
2017.07,1.17,경남
2017.08,1.17,경남
2017.09,1.16,경남
2017.10,1.15,경남
2017.11,1.14,경남
2017.12,1.13,경남
2018.01,1.12,경남
2018.02,1.12,경남
2018.03,1.11,경남
2018.04,1.10,경남
2018.05,1.10,경남
2018.06,1.09,경남
2018.07,1.08,경남
2018.08,1.08,경남
2018.09,1.07,경남
2018.10,1.06,경남
2018.11,1.06,경남
2018.12,1.05,경남
2019.01,1.05,경남
2019.02,1.04,경남
2019.03,1.03,경남
2019.04,1.02,경남
2019.05,1.01,경남
2019.06,1.00,경남
2019.07,1.00,경남
2019.08,0.99,경남
2019.09,0.98,경남
2019.10,0.97,경남
2019.11,0.96,경남
2019.12,0.95,경남
2020.01,0.94,경남
2020.02,0.94,경남
2020.03,0.94,경남
2020.04,0.93,경남
2020.05,0.93,경남
2020.06,0.93,경남
2020.07,0.92,경남
2020.08,0.92,경남
2020.09,0.92,경남
2020.10,0.91,경남
2020.11,0.91,경남
2020.12,0.91,경남
2021.01,0.90,경남
2021.02,0.90,경남
2021.03,0.89,경남
2021.04,0.89,경남
2021.05,0.88,경남
2021.06,0.88,경남
2021.07,0.87,경남
2021.08,0.87,경남
2021.09,0.86,경남
2021.10,0.85,경남
2021.11,0.85,경남
2021.12,0.84,경남
2022.01,0.84,경남
2022.02,0.83,경남
2022.03,0.83,경남
2022.04,0.83,경남
2022.05,0.82,경남
2022.06,0.82,경남
2022.07,0.82,경남
2022.08,0.82,경남
2022.09,0.81,경남
2022.10,0.81,경남
2022.11,0.81,경남
2022.12,0.80,경남
2023.01,0.80,경남
2000.01,1.58,경북
2000.02,1.56,경북
2000.03,1.55,경북
2000.04,1.53,경북
2000.05,1.52,경북
2000.06,1.50,경북
2000.07,1.49,경북
2000.08,1.48,경북
2000.09,1.46,경북
2000.10,1.45,경북
2000.11,1.43,경북
2000.12,1.42,경북
2001.01,1.40,경북
2001.02,1.39,경북
2001.03,1.37,경북
2001.04,1.36,경북
2001.05,1.35,경북
2001.06,1.33,경북
2001.07,1.32,경북
2001.08,1.30,경북
2001.09,1.29,경북
2001.10,1.27,경북
2001.11,1.26,경북
2001.12,1.25,경북
2002.01,1.23,경북
2002.02,1.23,경북
2002.03,1.24,경북
2002.04,1.24,경북
2002.05,1.24,경북
2002.06,1.24,경북
2002.07,1.24,경북
2002.08,1.24,경북
2002.09,1.25,경북
2002.10,1.25,경북
2002.11,1.25,경북
2002.12,1.25,경북
2003.01,1.25,경북
2003.02,1.25,경북
2003.03,1.24,경북
2003.04,1.24,경북
2003.05,1.24,경북
2003.06,1.23,경북
2003.07,1.23,경북
2003.08,1.22,경북
2003.09,1.22,경북
2003.10,1.22,경북
2003.11,1.21,경북
2003.12,1.21,경북
2004.01,1.20,경북
2004.02,1.20,경북
2004.03,1.20,경북
2004.04,1.20,경북
2004.05,1.19,경북
2004.06,1.19,경북
2004.07,1.19,경북
2004.08,1.19,경북
2004.09,1.18,경북
2004.10,1.18,경북
2004.11,1.18,경북
2004.12,1.18,경북
2005.01,1.17,경북
2005.02,1.18,경북
2005.03,1.18,경북
2005.04,1.18,경북
2005.05,1.18,경북
2005.06,1.19,경북
2005.07,1.19,경북
2005.08,1.19,경북
2005.09,1.20,경북
2005.10,1.20,경북
2005.11,1.20,경북
2005.12,1.21,경북
2006.01,1.21,경북
2006.02,1.22,경북
2006.03,1.23,경북
2006.04,1.25,경북
2006.05,1.26,경북
2006.06,1.28,경북
2006.07,1.29,경북
2006.08,1.30,경북
2006.09,1.32,경북
2006.10,1.33,경북
2006.11,1.34,경북
2006.12,1.36,경북
2007.01,1.37,경북
2007.02,1.36,경북
2007.03,1.36,경북
2007.04,1.35,경북
2007.05,1.35,경북
2007.06,1.35,경북
2007.07,1.34,경북
2007.08,1.34,경북
2007.09,1.33,경북
2007.10,1.33,경북
2007.11,1.32,경북
2007.12,1.32,경북
2008.01,1.31,경북
2008.02,1.31,경북
2008.03,1.31,경북
2008.04,1.30,경북
2008.05,1.30,경북
2008.06,1.30,경북
2008.07,1.29,경북
2008.08,1.29,경북
2008.09,1.29,경북
2008.10,1.28,경북
2008.11,1.28,경북
2008.12,1.28,경북
2009.01,1.27,경북
2009.02,1.28,경북
