지역별,시점,아파트매매가격지수,인구밀도,사교육참여율,고용률,여성초혼연령,인터넷이용률,합계출산율,근로시간
강원,2016.07,93.0,90.4,65.5,60.1,29.87,79.6,1.18,161.1
경기,2016.07,96.8,1254.4,74.1,62.6,30.26,89.7,1.132,163.7
경남,2016.07,107.2,317.2,70.0,61.0,29.99,90.9,1.292,160.8
경북,2016.07,106.7,140.8,67.3,63.1,29.79,88.0,1.326,161.9
광주,2016.07,96.5,2989.6,68.7,58.7,30.23,92.9,1.11,161.8
대구,2016.07,96.3,2780.0,74.0,60.2,30.35,92.8,1.126,164.2
대전,2016.07,97.4,2836.2,72.7,60.3,29.96,91.3,1.134,161.0
부산,2016.07,91.8,4450.5,72.9,56.4,30.69,93.0,1.035,166.1
서울,2016.07,87.9,16140.1,77.7,60.4,31.12,89.4,0.888,161.9
울산,2016.07,104.6,1094.1,69.6,59.0,29.85,96.8,1.34,155.4
인천,2016.07,95.9,2747.8,68.2,62.9,30.14,88.6,1.076,164.3
전남,2016.07,91.2,145.5,57.2,63.9,29.66,82.6,1.396,165.2
전북,2016.07,97.3,226.7,64.6,61.3,29.69,87.8,1.201,161.0
제주,2016.07,98.6,342.8,66.4,68.2,30.44,86.5,1.368,170.6
충남,2016.07,104.8,261.4,64.6,63.3,29.46,87.2,1.336,159.0
충북,2016.07,103.1,217.1,63.3,63.3,29.62,87.5,1.296,161.1
강원,2016.08,94.2,90.4,65.5,60.1,29.88,80.3,1.171,160.8
경기,2016.08,97.6,1255.9,74.1,62.3,30.27,89.8,1.121,163.4
경남,2016.08,107.4,317.2,70.0,60.8,30.0,90.9,1.282,160.6
경북,2016.08,106.4,140.8,67.3,63.2,29.8,88.2,1.314,161.8
광주,2016.08,97.1,2988.8,68.7,58.3,30.25,93.1,1.101,161.8
대구,2016.08,96.0,2779.2,74.0,60.1,30.36,93.0,1.117,164.0
대전,2016.08,98.1,2834.6,72.8,59.7,29.96,91.4,1.124,160.8
부산,2016.08,93.4,4447.9,72.9,56.2,30.7,93.1,1.026,165.9
서울,2016.08,89.2,16131.3,77.7,60.0,31.14,89.6,0.879,161.7
울산,2016.08,104.3,1093.3,69.6,59.0,29.87,96.9,1.326,155.2
인천,2016.08,96.9,2748.7,68.2,62.3,30.15,88.7,1.064,164.0
전남,2016.08,92.2,145.5,57.2,64.5,29.68,82.8,1.384,165.1
전북,2016.08,97.6,226.6,64.6,61.8,29.7,88.1,1.193,161.0
제주,2016.08,98.9,343.6,66.4,69.8,30.44,86.6,1.358,170.3
충남,2016.08,105.0,261.7,64.6,63.1,29.48,87.6,1.326,158.7
충북,2016.08,103.1,217.2,63.3,63.1,29.63,87.6,1.286,160.9
강원,2016.09,95.4,90.4,65.5,60.0,29.89,81.0,1.161,160.6
경기,2016.09,98.3,1257.3,74.1,62.1,30.28,89.9,1.111,163.2
경남,2016.09,107.7,317.3,70.0,61.2,30.01,91.0,1.271,160.4
경북,2016.09,106.4,140.8,67.3,62.7,29.8,88.4,1.303,161.6
광주,2016.09,97.4,2987.9,68.7,57.9,30.26,93.3,1.091,161.8
대구,2016.09,96.7,2778.5,74.0,59.9,30.37,93.1,1.107,163.8
대전,2016.09,98.4,2833.1,72.8,59.6,29.96,91.5,1.114,160.6
부산,2016.09,95.5,4445.2,72.8,56.0,30.71,93.2,1.016,165.6
서울,2016.09,90.4,16122.4,77.7,60.2,31.15,89.8,0.871,161.6
울산,2016.09,105.1,1092.6,69.6,60.0,29.88,96.9,1.313,155.0
인천,2016.09,98.0,2749.6,68.3,61.8,30.16,88.8,1.053,163.8
전남,2016.09,93.2,145.4,57.3,64.4,29.71,83.0,1.372,165.0
전북,2016.09,98.4,226.5,64.7,61.8,29.7,88.4,1.184,161.0
제주,2016.09,99.5,344.4,66.4,70.0,30.44,86.6,1.347,170.1
충남,2016.09,105.0,262.0,64.5,63.8,29.51,87.9,1.316,158.4
충북,2016.09,103.2,217.2,63.4,62.9,29.64,87.6,1.276,160.6
강원,2016.1,96.1,90.4,65.5,60.4,29.9,81.7,1.152,160.4
경기,2016.1,99.0,1258.7,74.1,61.9,30.28,90.0,1.1,162.9
경남,2016.1,107.6,317.3,70.0,61.3,30.02,91.0,1.26,160.2
경북,2016.1,105.5,140.7,67.3,63.5,29.81,88.6,1.291,161.5
광주,2016.1,97.8,2987.0,68.7,58.2,30.27,93.5,1.082,161.9
대구,2016.1,96.7,2777.7,74.0,59.6,30.38,93.3,1.097,163.6
대전,2016.1,99.0,2831.6,72.8,60.1,29.97,91.6,1.104,160.4
부산,2016.1,97.4,4442.6,72.8,56.1,30.72,93.2,1.006,165.4
서울,2016.1,91.6,16113.5,77.8,60.5,31.17,90.1,0.862,161.4
울산,2016.1,105.4,1091.9,69.7,59.9,29.9,96.9,1.3,154.8
인천,2016.1,99.0,2750.5,68.3,61.9,30.17,88.8,1.041,163.5
전남,2016.1,93.2,145.4,57.3,64.2,29.74,83.2,1.36,164.9
전북,2016.1,98.9,226.5,64.7,61.5,29.71,88.8,1.176,161.0
제주,2016.1,102.5,345.3,66.4,70.5,30.44,86.6,1.337,169.9
충남,2016.1,105.0,262.3,64.5,63.5,29.54,88.3,1.306,158.2
충북,2016.1,103.0,217.3,63.4,63.1,29.65,87.7,1.266,160.4
강원,2016.11,96.4,90.4,65.5,60.3,29.92,82.4,1.142,160.1
경기,2016.11,99.1,1260.2,74.2,62.0,30.29,90.2,1.09,162.7
경남,2016.11,107.5,317.4,70.0,61.4,30.03,91.0,1.249,160.0
경북,2016.11,105.4,140.7,67.3,63.3,29.81,88.8,1.279,161.4
광주,2016.11,97.9,2986.2,68.8,57.9,30.29,93.7,1.072,161.9
대구,2016.11,96.8,2777.0,74.0,59.7,30.39,93.4,1.087,163.4
대전,2016.11,99.1,2830.0,72.8,60.4,29.97,91.7,1.095,160.2
부산,2016.11,98.5,4440.0,72.8,56.6,30.73,93.3,0.996,165.2
서울,2016.11,91.8,16104.7,77.8,60.5,31.18,90.3,0.853,161.2
울산,2016.11,105.0,1091.1,69.7,59.8,29.91,97.0,1.287,154.6
인천,2016.11,98.9,2751.4,68.3,61.7,30.18,88.9,1.03,163.3
전남,2016.11,94.4,145.3,57.3,64.1,29.76,83.4,1.349,164.7
전북,2016.11,99.1,226.4,64.7,60.5,29.71,89.1,1.168,160.9
제주,2016.11,100.6,346.1,66.5,71.2,30.45,86.7,1.326,169.6
충남,2016.11,105.0,262.6,64.5,63.3,29.56,88.6,1.296,157.9
충북,2016.11,102.4,217.4,63.5,63.2,29.66,87.7,1.256,160.1
강원,2016.12,96.6,90.4,65.5,56.4,29.93,83.1,1.132,159.9
경기,2016.12,98.7,1261.6,74.2,61.3,30.3,90.3,1.079,162.4
경남,2016.12,106.8,317.4,70.0,60.9,30.04,91.0,1.238,159.8
경북,2016.12,104.7,140.7,67.3,61.4,29.82,89.0,1.268,161.3
광주,2016.12,97.7,2985.3,68.8,58.1,30.3,93.9,1.063,161.9
대구,2016.12,96.2,2776.2,74.0,59.1,30.4,93.6,1.077,163.2
대전,2016.12,99.7,2828.5,72.8,59.6,29.97,91.8,1.085,160.0
부산,2016.12,98.7,4437.4,72.8,56.1,30.74,93.3,0.986,165.0
서울,2016.12,91.2,16095.8,77.8,60.3,31.2,90.5,0.845,161.1
울산,2016.12,105.1,1090.4,69.7,59.3,29.93,97.0,1.274,154.4
인천,2016.12,98.5,2752.3,68.4,61.1,30.19,89.0,1.018,163.0
전남,2016.12,93.4,145.3,57.4,61.2,29.79,83.6,1.337,164.6
전북,2016.12,98.8,226.3,64.7,58.0,29.72,89.4,1.159,160.9
제주,2016.12,100.5,346.9,66.5,70.4,30.45,86.7,1.316,169.4
충남,2016.12,104.2,262.9,64.5,60.4,29.59,89.0,1.286,157.6
충북,2016.12,102.1,217.5,63.5,61.1,29.67,87.8,1.245,159.9
강원,2017.01,96.7,90.4,65.7,54.0,29.95,83.1,1.123,160.3
경기,2017.01,98.4,1263.6,75.5,60.6,30.32,90.4,1.069,162.8
경남,2017.01,106.3,317.4,70.2,59.5,30.05,91.0,1.227,160.1
경북,2017.01,103.8,140.7,67.6,60.0,29.85,89.3,1.256,161.5
광주,2017.01,97.7,2984.3,69.2,58.2,30.31,93.9,1.053,162.2
대구,2017.01,95.6,2775.4,73.8,58.5,30.41,93.7,1.067,163.5
대전,2017.01,99.8,2826.2,73.5,58.3,29.99,92.0,1.075,160.2
부산,2017.01,98.6,4435.1,71.1,55.5,30.75,93.3,0.976,165.2
서울,2017.01,91.0,16086.5,79.2,59.4,31.21,90.6,0.836,161.5
울산,2017.01,104.1,1089.8,72.1,58.3,29.95,96.9,1.261,154.8
인천,2017.01,98.3,2753.1,71.2,60.2,30.21,89.2,1.007,163.3
전남,2017.01,92.4,145.3,60.1,58.7,29.8,83.7,1.325,164.8
전북,2017.01,99.1,226.2,65.2,56.6,29.75,89.5,1.151,161.2
제주,2017.01,102.3,347.6,67.8,69.8,30.48,86.9,1.305,169.6
충남,2017.01,103.3,263.1,64.0,57.8,29.6,89.3,1.276,158.0
충북,2017.01,102.2,217.6,67.4,58.3,29.67,88.1,1.235,160.3
강원,2017.02,97.7,90.4,65.8,55.1,29.97,83.2,1.118,160.7
경기,2017.02,98.5,1265.7,76.1,60.6,30.34,90.5,1.063,163.1
경남,2017.02,106.1,317.5,70.3,59.7,30.07,90.9,1.218,160.4
경북,2017.02,104.0,140.6,67.7,60.6,29.87,89.6,1.249,161.7
광주,2017.02,98.0,2983.3,69.4,58.0,30.32,94.0,1.046,162.5
대구,2017.02,95.9,2774.6,73.7,58.4,30.42,93.8,1.06,163.8
대전,2017.02,100.0,2823.9,73.8,58.3,30.02,92.2,1.065,160.5
부산,2017.02,99.4,4432.8,70.3,55.9,30.77,93.2,0.97,165.4
서울,2017.02,91.0,16077.1,79.9,59.7,31.22,90.7,0.83,161.9
울산,2017.02,104.4,1089.2,73.3,58.9,29.96,96.7,1.25,155.2
인천,2017.02,98.2,2753.8,72.6,60.7,30.22,89.4,1.007,163.6
전남,2017.02,94.4,145.2,61.5,59.7,29.82,83.9,1.318,165.0
전북,2017.02,99.3,226.1,65.5,55.9,29.77,89.5,1.142,161.5
제주,2017.02,102.3,348.4,68.4,70.0,30.51,87.1,1.298,169.7
충남,2017.02,103.1,263.3,63.7,57.2,29.61,89.5,1.269,158.5
충북,2017.02,101.9,217.7,69.4,58.2,29.67,88.4,1.23,160.8
강원,2017.03,98.0,90.4,65.8,59.0,29.98,83.2,1.114,161.1
경기,2017.03,98.6,1267.8,76.1,61.7,30.36,90.6,1.058,163.5
경남,2017.03,105.8,317.5,70.3,60.4,30.08,90.9,1.209,160.7
경북,2017.03,103.2,140.6,67.7,61.9,29.9,89.8,1.241,161.9
광주,2017.03,97.6,2982.3,69.5,58.6,30.32,94.1,1.039,162.8
대구,2017.03,96.1,2773.8,73.7,59.1,30.43,93.9,1.054,164.1
대전,2017.03,99.5,2821.6,73.8,59.3,30.04,92.4,1.054,160.7
부산,2017.03,100.0,4430.5,70.4,56.2,30.78,93.2,0.963,165.6
서울,2017.03,91.7,16067.8,79.9,59.7,31.23,90.7,0.823,162.3
울산,2017.03,104.6,1088.6,73.3,59.7,29.98,96.6,1.239,155.6
인천,2017.03,98.6,2754.6,72.6,61.3,30.24,89.6,1.007,163.9
전남,2017.03,95.5,145.2,61.5,61.1,29.83,84.0,1.311,165.2
전북,2017.03,99.1,226.0,65.5,58.2,29.8,89.6,1.133,161.8
제주,2017.03,100.0,349.1,68.4,71.0,30.54,87.2,1.291,169.9
충남,2017.03,102.8,263.4,63.8,60.2,29.62,89.8,1.261,159.0
충북,2017.03,101.6,217.8,69.4,61.2,29.66,88.6,1.224,161.2
강원,2017.04,97.9,90.4,65.8,62.3,30.0,83.3,1.109,161.5
경기,2017.04,98.6,1269.8,76.1,62.1,30.37,90.8,1.052,163.9
경남,2017.04,105.2,317.6,70.3,61.6,30.09,90.9,1.201,161.0
경북,2017.04,102.7,140.6,67.7,62.4,29.92,90.1,1.234,162.1
광주,2017.04,97.5,2981.3,69.5,58.8,30.33,94.1,1.033,163.1
대구,2017.04,96.0,2773.0,73.7,59.3,30.44,94.0,1.047,164.4
대전,2017.04,99.7,2819.3,73.8,59.1,30.07,92.6,1.044,160.9
부산,2017.04,100.7,4428.2,70.4,56.4,30.8,93.1,0.957,165.8
서울,2017.04,91.9,16058.4,79.9,59.9,31.24,90.8,0.817,162.7
울산,2017.04,103.4,1088.1,73.3,59.7,30.0,96.4,1.228,156.1
인천,2017.04,98.7,2755.3,72.6,61.4,30.26,89.8,1.007,164.2
전남,2017.04,96.5,145.2,61.5,62.1,29.85,84.2,1.304,165.4
전북,2017.04,99.1,226.0,65.6,59.6,29.83,89.7,1.124,162.1
제주,2017.04,99.3,349.9,68.5,71.4,30.56,87.4,1.284,170.1
충남,2017.04,102.1,263.6,63.8,63.0,29.63,90.1,1.254,159.4
충북,2017.04,100.9,217.9,69.4,63.2,29.66,88.9,1.219,161.7
강원,2017.05,98.7,90.4,65.8,63.6,30.02,83.4,1.104,161.9
경기,2017.05,98.9,1271.9,76.2,62.4,30.39,90.9,1.047,164.2
경남,2017.05,104.1,317.6,70.3,61.5,30.11,90.9,1.192,161.3
경북,2017.05,101.7,140.6,67.8,63.8,29.95,90.4,1.226,162.3
광주,2017.05,97.7,2980.3,69.5,59.2,30.34,94.2,1.026,163.4
대구,2017.05,96.0,2772.2,73.7,59.3,30.45,94.1,1.04,164.7
대전,2017.05,99.8,2817.0,73.8,59.3,30.1,92.8,1.034,161.2
부산,2017.05,100.8,4425.9,70.5,57.0,30.81,93.1,0.95,166.0
서울,2017.05,93.4,16049.1,79.9,60.5,31.25,90.9,0.811,163.1
울산,2017.05,102.9,1087.5,73.3,60.3,30.01,96.2,1.218,156.5
인천,2017.05,99.0,2756.1,72.7,62.4,30.27,90.0,1.007,164.5
전남,2017.05,97.1,145.2,61.5,63.0,29.86,84.3,1.297,165.6
전북,2017.05,99.3,225.9,65.6,60.1,29.85,89.7,1.115,162.4
제주,2017.05,99.0,350.6,68.5,71.6,30.59,87.6,1.277,170.2
충남,2017.05,102.0,263.8,63.9,63.6,29.64,90.3,1.246,159.9
충북,2017.05,101.0,218.0,69.4,64.2,29.66,89.2,1.214,162.1
강원,2017.06,99.1,90.4,65.8,63.8,30.04,83.4,1.1,162.2
경기,2017.06,99.5,1273.9,76.2,62.3,30.41,91.0,1.041,164.6
경남,2017.06,103.5,317.6,70.4,61.2,30.12,90.8,1.183,161.6
경북,2017.06,101.8,140.6,67.8,64.0,29.98,90.6,1.219,162.5
광주,2017.06,98.2,2979.2,69.6,59.7,30.35,94.2,1.019,163.8
대구,2017.06,96.5,2771.4,73.8,59.4,30.46,94.2,1.034,165.0
대전,2017.06,100.0,2814.8,73.8,58.9,30.12,92.9,1.024,161.4
부산,2017.06,101.2,4423.6,70.5,57.0,30.82,93.0,0.944,166.2
서울,2017.06,95.3,16039.8,79.9,60.8,31.26,91.0,0.805,163.5
울산,2017.06,102.9,1086.9,73.3,60.4,30.03,96.1,1.207,156.9
인천,2017.06,99.4,2756.9,72.7,62.3,30.29,90.2,1.007,164.8
전남,2017.06,97.1,145.2,61.5,63.1,29.88,84.4,1.29,165.8
전북,2017.06,99.1,225.8,65.6,59.5,29.88,89.8,1.106,162.7
제주,2017.06,100.7,351.4,68.5,71.1,30.62,87.8,1.27,170.4
충남,2017.06,101.8,264.0,63.9,64.2,29.64,90.6,1.238,160.3
충북,2017.06,101.2,218.2,69.4,64.0,29.66,89.4,1.209,162.6
강원,2017.07,99.8,90.3,65.8,64.3,30.06,83.4,1.095,162.6
경기,2017.07,100.1,1275.9,76.2,62.9,30.43,91.1,1.035,165.0
경남,2017.07,103.0,317.7,70.4,61.1,30.13,90.8,1.174,161.9
경북,2017.07,101.5,140.5,67.8,63.4,30.0,90.9,1.212,162.7
광주,2017.07,98.8,2978.2,69.6,59.8,30.36,94.2,1.012,164.1
대구,2017.07,97.7,2770.7,73.8,59.6,30.46,94.4,1.027,165.3
대전,2017.07,100.4,2812.5,73.8,59.2,30.14,93.1,1.014,161.6
부산,2017.07,101.6,4421.3,70.5,56.7,30.84,93.0,0.938,166.3
서울,2017.07,97.7,16030.4,79.9,61.0,31.27,91.0,0.798,163.9
울산,2017.07,102.8,1086.3,73.3,60.1,30.05,96.0,1.196,157.3
인천,2017.07,100.1,2757.6,72.7,62.2,30.31,90.5,1.006,165.2
전남,2017.07,98.0,145.1,61.5,62.5,29.89,84.6,1.282,165.9
전북,2017.07,99.7,225.7,65.6,59.4,29.91,89.9,1.098,163.0
제주,2017.07,100.4,352.1,68.6,71.9,30.65,88.0,1.262,170.6
충남,2017.07,101.4,264.2,63.9,63.8,29.65,90.9,1.231,160.7
충북,2017.07,100.5,218.3,69.4,63.6,29.66,89.7,1.204,163.0
강원,2017.08,100.0,90.3,65.8,64.0,30.08,83.5,1.09,163.0
경기,2017.08,100.6,1278.0,76.2,62.5,30.45,91.2,1.03,165.3
경남,2017.08,102.3,317.7,70.4,60.9,30.15,90.8,1.166,162.2
경북,2017.08,100.7,140.5,67.8,63.0,30.03,91.2,1.204,162.9
광주,2017.08,99.3,2977.2,69.6,59.4,30.37,94.3,1.006,164.4
대구,2017.08,99.2,2769.9,73.8,58.4,30.47,94.5,1.02,165.6
대전,2017.08,100.2,2810.2,73.8,58.5,30.17,93.3,1.003,161.9
부산,2017.08,101.5,4419.0,70.6,56.4,30.85,93.0,0.931,166.5
서울,2017.08,98.0,16021.1,79.9,60.6,31.28,91.1,0.792,164.3
울산,2017.08,102.2,1085.7,73.3,59.5,30.06,95.8,1.185,157.7
인천,2017.08,100.3,2758.4,72.7,61.2,30.32,90.7,1.006,165.5
전남,2017.08,98.1,145.1,61.5,62.6,29.9,84.7,1.275,166.1
전북,2017.08,99.8,225.6,65.6,58.8,29.93,89.9,1.089,163.3
제주,2017.08,97.6,352.8,68.6,70.7,30.68,88.2,1.255,170.7
충남,2017.08,101.1,264.4,64.0,63.7,29.66,91.1,1.224,161.2
충북,2017.08,100.4,218.4,69.4,63.7,29.66,90.0,1.198,163.4
강원,2017.09,100.3,90.3,65.8,63.0,30.1,83.6,1.086,163.4
경기,2017.09,100.6,1280.0,76.2,62.8,30.46,91.4,1.024,165.7
경남,2017.09,101.7,317.8,70.4,61.3,30.16,90.8,1.157,162.5
경북,2017.09,101.2,140.5,67.8,63.3,30.05,91.5,1.197,163.1
광주,2017.09,99.8,2976.2,69.7,58.7,30.38,94.4,0.999,164.7
대구,2017.09,99.9,2769.1,73.8,58.7,30.48,94.6,1.014,165.9
대전,2017.09,100.3,2807.9,73.8,58.7,30.2,93.5,0.993,162.1
부산,2017.09,100.7,4416.7,70.6,56.2,30.87,92.9,0.925,166.7
서울,2017.09,98.3,16011.7,79.9,60.4,31.29,91.2,0.786,164.7
울산,2017.09,101.9,1085.2,73.3,59.5,30.08,95.6,1.174,158.2
인천,2017.09,100.5,2759.1,72.7,61.9,30.34,90.9,1.006,165.8
전남,2017.09,99.1,145.1,61.5,63.5,29.92,84.9,1.268,166.3
전북,2017.09,100.3,225.6,65.7,59.7,29.96,90.0,1.08,163.6
제주,2017.09,101.3,353.6,68.6,70.6,30.7,88.4,1.248,170.9
충남,2017.09,101.1,264.6,64.0,64.4,29.67,91.4,1.216,161.6
충북,2017.09,100.1,218.5,69.4,65.3,29.66,90.3,1.193,163.9
강원,2017.1,100.4,90.3,65.8,63.2,30.11,83.6,1.081,163.8
경기,2017.1,100.7,1282.1,76.2,62.7,30.48,91.5,1.019,166.1
경남,2017.1,100.9,317.8,70.4,61.5,30.17,90.8,1.148,162.8
경북,2017.1,100.4,140.5,67.8,63.4,30.08,91.7,1.189,163.3
광주,2017.1,99.5,2975.2,69.7,59.3,30.38,94.4,0.992,165.0
대구,2017.1,100.2,2768.3,73.8,58.0,30.49,94.7,1.007,166.2
대전,2017.1,100.8,2805.6,73.8,58.9,30.22,93.7,0.983,162.3
부산,2017.1,100.5,4414.4,70.7,56.3,30.88,92.9,0.918,166.9
서울,2017.1,99.4,16002.4,79.9,60.4,31.3,91.2,0.78,165.1
울산,2017.1,100.7,1084.6,73.3,59.9,30.1,95.5,1.164,158.6
인천,2017.1,100.5,2759.9,72.8,62.6,30.36,91.1,1.006,166.1
전남,2017.1,99.8,145.0,61.5,63.6,29.93,85.0,1.261,166.5
전북,2017.1,100.3,225.5,65.7,59.5,29.99,90.1,1.071,163.9
제주,2017.1,99.9,354.3,68.6,70.2,30.73,88.5,1.241,171.1
충남,2017.1,100.9,264.7,64.1,64.1,29.68,91.7,1.208,162.1
충북,2017.1,99.9,218.6,69.4,64.6,29.65,90.5,1.188,164.3
강원,2017.11,100.0,90.3,65.8,62.4,30.13,83.7,1.076,164.2
경기,2017.11,100.0,1284.2,76.3,62.9,30.5,91.6,1.013,166.4
경남,2017.11,100.0,317.9,70.4,61.1,30.19,90.7,1.14,163.1
경북,2017.11,100.0,140.4,67.8,62.9,30.1,92.0,1.182,163.5
광주,2017.11,100.0,2974.2,69.7,59.2,30.39,94.5,0.986,165.3
대구,2017.11,100.0,2767.5,73.8,58.6,30.5,94.8,1.0,166.5
대전,2017.11,100.0,2803.3,73.9,59.5,30.25,93.9,0.973,162.6
부산,2017.11,100.0,4412.1,70.7,56.1,30.9,92.8,0.912,167.1
서울,2017.11,100.0,15993.0,79.9,60.3,31.31,91.3,0.774,165.5
울산,2017.11,100.0,1084.0,73.3,60.1,30.11,95.3,1.153,159.0
인천,2017.11,100.0,2760.6,72.8,62.1,30.37,91.3,1.006,166.4
전남,2017.11,100.0,145.0,61.5,63.5,29.95,85.2,1.254,166.7
전북,2017.11,100.0,225.4,65.7,59.4,30.01,90.1,1.062,164.2
제주,2017.11,100.0,355.1,68.7,71.8,30.76,88.7,1.234,171.2
충남,2017.11,100.0,264.9,64.1,63.9,29.69,91.9,1.201,162.6
충북,2017.11,100.0,218.7,69.4,63.6,29.65,90.8,1.183,164.8
강원,2017.12,99.2,90.3,65.8,57.3,30.15,83.7,1.072,164.6
경기,2017.12,99.3,1286.2,76.3,62.1,30.52,91.7,1.008,166.8
경남,2017.12,99.1,317.9,70.4,60.8,30.2,90.7,1.131,163.4
경북,2017.12,99.2,140.4,67.9,60.8,30.13,92.3,1.174,163.7
광주,2017.12,100.0,2973.2,69.8,59.6,30.4,94.5,0.979,165.6
대구,2017.12,99.9,2766.7,73.8,58.2,30.51,94.9,0.994,166.8
대전,2017.12,100.0,2801.0,73.9,59.0,30.27,94.1,0.962,162.8
부산,2017.12,98.8,4409.8,70.8,56.1,30.91,92.8,0.905,167.3
서울,2017.12,101.0,15983.7,79.9,59.9,31.32,91.4,0.767,165.9
울산,2017.12,98.5,1083.4,73.3,60.6,30.13,95.2,1.142,159.4
인천,2017.12,99.8,2761.4,72.8,61.7,30.39,91.5,1.006,166.7
전남,2017.12,99.4,145.0,61.5,61.8,29.96,85.3,1.247,166.9
전북,2017.12,99.9,225.3,65.7,56.6,30.04,90.2,1.053,164.5
제주,2017.12,99.6,355.8,68.7,70.7,30.79,88.9,1.227,171.4
충남,2017.12,99.4,265.1,64.2,61.5,29.7,92.2,1.193,163.0
충북,2017.12,99.1,218.8,69.4,61.0,29.65,91.1,1.177,165.2
