"시점","행정구역별",데이터
"2007.07","부산광역시",52.8
"2007.07","대구광역시",56.3
"2007.07","인천광역시",63.4
"2007.07","광주광역시",60.8
"2007.07","대전광역시",52.1
"2007.07","울산광역시",69.4
"2007.07","경기도",72.4
"2007.07","강원특별자치도",75.7
"2007.07","충청북도",71.1
"2007.07","충청남도",74.6
"2007.07","전북특별자치도",68.3
"2007.07","전라남도",63.0
"2007.07","경상북도",81.9
"2007.07","경상남도",70.2
"2007.07","제주특별자치도",54.6
"2007.08","서울특별시",72.5
"2007.08","부산광역시",52.8
"2007.08","대구광역시",56.2
"2007.08","인천광역시",64.1
"2007.08","광주광역시",60.8
"2007.08","대전광역시",52.1
"2007.08","울산광역시",69.4
"2007.08","경기도",72.8
"2007.08","강원특별자치도",75.6
"2007.08","충청북도",71.1
"2007.08","충청남도",74.5
"2007.08","전북특별자치도",68.3
"2007.08","전라남도",63.2
"2007.08","경상북도",82.0
"2007.08","경상남도",70.2
"2007.08","제주특별자치도",54.7
"2007.09","서울특별시",72.9
"2007.09","부산광역시",52.9
"2007.09","대구광역시",56.1
"2007.09","인천광역시",64.7
"2007.09","광주광역시",60.8
"2007.09","대전광역시",52.0
"2007.09","울산광역시",69.5
"2007.09","경기도",73.2
"2007.09","강원특별자치도",75.4
"2007.09","충청북도",71.2
"2007.09","충청남도",74.5
"2007.09","전북특별자치도",68.4
"2007.09","전라남도",63.4
"2007.09","경상북도",82.0
"2007.09","경상남도",70.4
"2007.09","제주특별자치도",54.7
"2007.10","서울특별시",73.2
"2007.10","부산광역시",52.9
"2007.10","대구광역시",56.0
"2007.10","인천광역시",65.7
"2007.10","광주광역시",60.9
"2007.10","대전광역시",52.0
"2007.10","울산광역시",69.9
"2007.10","경기도",73.6
"2007.10","강원특별자치도",75.1
"2007.10","충청북도",71.6
"2007.10","충청남도",74.5
"2007.10","전북특별자치도",68.6
"2007.10","전라남도",63.5
"2007.10","경상북도",82.0
"2007.10","경상남도",70.5
"2007.10","제주특별자치도",54.8
"2007.11","서울특별시",73.7
"2007.11","부산광역시",53.0
"2007.11","대구광역시",55.9
"2007.11","인천광역시",66.7
"2007.11","광주광역시",61.1
"2007.11","대전광역시",52.1
"2007.11","울산광역시",70.3
"2007.11","경기도",73.9
"2007.11","강원특별자치도",74.8
"2007.11","충청북도",71.7
"2007.11","충청남도",74.4
"2007.11","전북특별자치도",68.9
"2007.11","전라남도",63.9
"2007.11","경상북도",81.9
"2007.11","경상남도",70.7
"2007.11","제주특별자치도",55.0
"2007.12","서울특별시",74.0
"2007.12","부산광역시",53.1
"2007.12","대구광역시",55.7
"2007.12","인천광역시",67.5
"2007.12","광주광역시",61.1
"2007.12","대전광역시",52.1
"2007.12","울산광역시",70.5
"2007.12","경기도",74.0
"2007.12","강원특별자치도",74.5
"2007.12","충청북도",71.8
"2007.12","충청남도",74.5
"2007.12","전북특별자치도",69.2
"2007.12","전라남도",64.7
"2007.12","경상북도",81.9
"2007.12","경상남도",71.0
"2007.12","제주특별자치도",55.0
"2008.01","서울특별시",74.5
"2008.01","부산광역시",53.3
"2008.01","대구광역시",55.6
"2008.01","인천광역시",68.4
"2008.01","광주광역시",61.1
"2008.01","대전광역시",52.1
"2008.01","울산광역시",70.7
"2008.01","경기도",74.3
"2008.01","강원특별자치도",74.4
"2008.01","충청북도",71.9
"2008.01","충청남도",74.3
"2008.01","전북특별자치도",69.4
"2008.01","전라남도",65.7
"2008.01","경상북도",82.0
"2008.01","경상남도",71.0
"2008.01","제주특별자치도",55.0
"2008.02","서울특별시",75.1
"2008.02","부산광역시",53.4
"2008.02","대구광역시",55.5
"2008.02","인천광역시",69.1
"2008.02","광주광역시",61.1
"2008.02","대전광역시",52.1
"2008.02","울산광역시",70.8
"2008.02","경기도",74.7
"2008.02","강원특별자치도",74.3
"2008.02","충청북도",72.0
"2008.02","충청남도",74.2
"2008.02","전북특별자치도",69.6
"2008.02","전라남도",66.5
"2008.02","경상북도",82.0
"2008.02","경상남도",71.1
"2008.02","제주특별자치도",55.0
"2008.03","서울특별시",76.4
"2008.03","부산광역시",53.7
"2008.03","대구광역시",55.4
"2008.03","인천광역시",70.3
"2008.03","광주광역시",61.2
"2008.03","대전광역시",52.2
"2008.03","울산광역시",71.0
"2008.03","경기도",75.4
"2008.03","강원특별자치도",74.1
"2008.03","충청북도",72.3
"2008.03","충청남도",74.1
"2008.03","전북특별자치도",70.1
"2008.03","전라남도",66.9
"2008.03","경상북도",82.0
"2008.03","경상남도",71.3
"2008.03","제주특별자치도",55.1
"2008.04","서울특별시",78.3
"2008.04","부산광역시",54.1
"2008.04","대구광역시",55.3
"2008.04","인천광역시",72.4
"2008.04","광주광역시",61.6
"2008.04","대전광역시",52.3
"2008.04","울산광역시",71.1
"2008.04","경기도",76.7
"2008.04","강원특별자치도",73.9
"2008.04","충청북도",72.7
"2008.04","충청남도",74.0
"2008.04","전북특별자치도",71.0
"2008.04","전라남도",69.1
"2008.04","경상북도",82.2
"2008.04","경상남도",71.8
"2008.04","제주특별자치도",55.3
"2008.05","서울특별시",79.5
"2008.05","부산광역시",54.4
"2008.05","대구광역시",55.2
"2008.05","인천광역시",74.0
"2008.05","광주광역시",62.0
"2008.05","대전광역시",52.4
"2008.05","울산광역시",71.2
"2008.05","경기도",77.6
"2008.05","강원특별자치도",74.0
"2008.05","충청북도",72.8
"2008.05","충청남도",74.1
"2008.05","전북특별자치도",71.8
"2008.05","전라남도",69.5
"2008.05","경상북도",82.2
"2008.05","경상남도",72.0
"2008.05","제주특별자치도",55.4
"2008.06","서울특별시",80.6
"2008.06","부산광역시",54.7
"2008.06","대구광역시",55.0
"2008.06","인천광역시",76.3
"2008.06","광주광역시",62.1
"2008.06","대전광역시",52.4
"2008.06","울산광역시",71.4
"2008.06","경기도",78.5
"2008.06","강원특별자치도",74.4
"2008.06","충청북도",73.0
"2008.06","충청남도",74.8
"2008.06","전북특별자치도",73.2
"2008.06","전라남도",70.4
"2008.06","경상북도",82.1
"2008.06","경상남도",72.6
"2008.06","제주특별자치도",55.6
"2008.07","서울특별시",81.2
"2008.07","부산광역시",55.1
"2008.07","대구광역시",55.0
"2008.07","인천광역시",78.5
"2008.07","광주광역시",62.2
"2008.07","대전광역시",52.5
"2008.07","울산광역시",71.2
"2008.07","경기도",78.9
"2008.07","강원특별자치도",74.9
"2008.07","충청북도",73.1
"2008.07","충청남도",75.3
"2008.07","전북특별자치도",74.1
"2008.07","전라남도",71.2
"2008.07","경상북도",82.2
"2008.07","경상남도",72.7
"2008.07","제주특별자치도",56.0
"2008.08","서울특별시",81.4
"2008.08","부산광역시",55.3
"2008.08","대구광역시",54.9
"2008.08","인천광역시",79.6
"2008.08","광주광역시",62.4
"2008.08","대전광역시",52.5
"2008.08","울산광역시",71.5
"2008.08","경기도",79.2
"2008.08","강원특별자치도",75.4
"2008.08","충청북도",73.3
"2008.08","충청남도",75.6
"2008.08","전북특별자치도",74.8
"2008.08","전라남도",71.7
"2008.08","경상북도",82.1
"2008.08","경상남도",73.1
"2008.08","제주특별자치도",56.1
"2008.09","서울특별시",81.6
"2008.09","부산광역시",55.7
"2008.09","대구광역시",54.8
"2008.09","인천광역시",81.0
"2008.09","광주광역시",62.6
"2008.09","대전광역시",52.7
"2008.09","울산광역시",71.6
"2008.09","경기도",79.3
"2008.09","강원특별자치도",75.6
"2008.09","충청북도",73.5
"2008.09","충청남도",76.6
"2008.09","전북특별자치도",75.4
"2008.09","전라남도",72.5
"2008.09","경상북도",82.1
"2008.09","경상남도",73.7
"2008.09","제주특별자치도",56.3
"2008.10","서울특별시",81.4
"2008.10","부산광역시",56.0
"2008.10","대구광역시",54.6
"2008.10","인천광역시",81.5
"2008.10","광주광역시",62.7
"2008.10","대전광역시",52.7
"2008.10","울산광역시",71.7
"2008.10","경기도",78.9
"2008.10","강원특별자치도",76.0
"2008.10","충청북도",73.5
"2008.10","충청남도",77.0
"2008.10","전북특별자치도",75.5
"2008.10","전라남도",72.6
"2008.10","경상북도",81.9
"2008.10","경상남도",74.2
"2008.10","제주특별자치도",57.2
"2008.11","서울특별시",80.6
"2008.11","부산광역시",56.1
"2008.11","대구광역시",54.4
"2008.11","인천광역시",81.4
"2008.11","광주광역시",62.8
"2008.11","대전광역시",52.6
"2008.11","울산광역시",71.6
"2008.11","경기도",77.8
"2008.11","강원특별자치도",76.0
"2008.11","충청북도",73.4
"2008.11","충청남도",77.1
"2008.11","전북특별자치도",75.5
"2008.11","전라남도",73.1
"2008.11","경상북도",81.4
"2008.11","경상남도",74.3
"2008.11","제주특별자치도",58.2
"2008.12","서울특별시",79.2
"2008.12","부산광역시",56.1
"2008.12","대구광역시",53.9
"2008.12","인천광역시",80.7
"2008.12","광주광역시",62.8
"2008.12","대전광역시",52.6
"2008.12","울산광역시",71.2
"2008.12","경기도",76.7
"2008.12","강원특별자치도",75.9
"2008.12","충청북도",73.4
"2008.12","충청남도",76.8
"2008.12","전북특별자치도",75.4
"2008.12","전라남도",73.5
"2008.12","경상북도",80.3
"2008.12","경상남도",74.1
"2008.12","제주특별자치도",58.2
"2009.01","서울특별시",78.5
"2009.01","부산광역시",56.1
"2009.01","대구광역시",53.3
"2009.01","인천광역시",80.3
"2009.01","광주광역시",62.6
"2009.01","대전광역시",52.4
"2009.01","울산광역시",71.0
"2009.01","경기도",75.8
"2009.01","강원특별자치도",75.8
"2009.01","충청북도",73.5
"2009.01","충청남도",76.6
"2009.01","전북특별자치도",75.1
"2009.01","전라남도",73.2
"2009.01","경상북도",79.8
"2009.01","경상남도",74.0
"2009.01","제주특별자치도",58.7
"2009.02","서울특별시",78.4
"2009.02","부산광역시",56.1
"2009.02","대구광역시",52.8
"2009.02","인천광역시",79.8
"2009.02","광주광역시",62.6
"2009.02","대전광역시",52.4
"2009.02","울산광역시",70.7
"2009.02","경기도",75.4
"2009.02","강원특별자치도",75.8
"2009.02","충청북도",73.4
"2009.02","충청남도",76.5
"2009.02","전북특별자치도",75.1
"2009.02","전라남도",73.2
"2009.02","경상북도",79.5
"2009.02","경상남도",74.0
"2009.02","제주특별자치도",58.7
"2009.03","서울특별시",78.2
"2009.03","부산광역시",56.2
"2009.03","대구광역시",52.5
"2009.03","인천광역시",79.5
"2009.03","광주광역시",62.5
"2009.03","대전광역시",52.5
"2009.03","울산광역시",70.6
"2009.03","경기도",75.0
"2009.03","강원특별자치도",75.8
"2009.03","충청북도",73.2
"2009.03","충청남도",76.3
"2009.03","전북특별자치도",75.4
"2009.03","전라남도",73.2
"2009.03","경상북도",79.2
"2009.03","경상남도",74.2
"2009.03","제주특별자치도",58.8
"2009.04","서울특별시",78.4
"2009.04","부산광역시",56.3
"2009.04","대구광역시",52.3
"2009.04","인천광역시",79.3
"2009.04","광주광역시",62.4
"2009.04","대전광역시",52.5
"2009.04","울산광역시",70.7
"2009.04","경기도",74.9
"2009.04","강원특별자치도",75.7
"2009.04","충청북도",73.3
"2009.04","충청남도",76.4
"2009.04","전북특별자치도",75.7
"2009.04","전라남도",73.7
"2009.04","경상북도",79.2
"2009.04","경상남도",74.3
"2009.04","제주특별자치도",59.1
"2009.05","서울특별시",78.6
"2009.05","부산광역시",56.6
"2009.05","대구광역시",52.3
"2009.05","인천광역시",79.3
"2009.05","광주광역시",62.3
"2009.05","대전광역시",52.7
"2009.05","울산광역시",70.8
"2009.05","경기도",75.1
"2009.05","강원특별자치도",75.7
"2009.05","충청북도",73.4
"2009.05","충청남도",76.3
"2009.05","전북특별자치도",75.9
"2009.05","전라남도",73.8
"2009.05","경상북도",79.1
"2009.05","경상남도",74.4
"2009.05","제주특별자치도",59.1
"2009.06","서울특별시",78.9
"2009.06","부산광역시",56.7
"2009.06","대구광역시",52.3
"2009.06","인천광역시",79.3
"2009.06","광주광역시",62.3
"2009.06","대전광역시",52.9
"2009.06","울산광역시",71.0
"2009.06","경기도",75.2
"2009.06","강원특별자치도",75.7
"2009.06","충청북도",73.4
"2009.06","충청남도",76.1
"2009.06","전북특별자치도",76.0
"2009.06","전라남도",74.0
"2009.06","경상북도",79.0
"2009.06","경상남도",74.6
"2009.06","제주특별자치도",58.9
"2009.07","서울특별시",79.6
"2009.07","부산광역시",56.8
"2009.07","대구광역시",52.3
"2009.07","인천광역시",79.3
"2009.07","광주광역시",62.2
"2009.07","대전광역시",53.2
"2009.07","울산광역시",71.4
"2009.07","경기도",75.5
"2009.07","강원특별자치도",75.8
"2009.07","충청북도",73.4
"2009.07","충청남도",76.0
"2009.07","전북특별자치도",76.3
"2009.07","전라남도",74.1
"2009.07","경상북도",78.9
"2009.07","경상남도",74.7
"2009.07","제주특별자치도",58.6
"2009.08","서울특별시",80.0
"2009.08","부산광역시",57.1
"2009.08","대구광역시",52.3
"2009.08","인천광역시",79.4
"2009.08","광주광역시",62.2
"2009.08","대전광역시",53.4
"2009.08","울산광역시",71.8
"2009.08","경기도",75.7
"2009.08","강원특별자치도",75.9
"2009.08","충청북도",73.5
"2009.08","충청남도",76.2
"2009.08","전북특별자치도",76.7
"2009.08","전라남도",74.1
"2009.08","경상북도",79.0
"2009.08","경상남도",74.8
"2009.08","제주특별자치도",58.7
"2009.09","서울특별시",80.9
"2009.09","부산광역시",57.8
"2009.09","대구광역시",52.6
"2009.09","인천광역시",79.8
"2009.09","광주광역시",62.3
"2009.09","대전광역시",54.1
"2009.09","울산광역시",72.2
"2009.09","경기도",76.3
"2009.09","강원특별자치도",76.0
"2009.09","충청북도",73.8
"2009.09","충청남도",76.5
"2009.09","전북특별자치도",77.2
"2009.09","전라남도",74.5
"2009.09","경상북도",79.3
"2009.09","경상남도",75.3
"2009.09","제주특별자치도",58.9
"2009.10","서울특별시",81.2
"2009.10","부산광역시",58.2
"2009.10","대구광역시",52.8
"2009.10","인천광역시",80.1
"2009.10","광주광역시",62.3
"2009.10","대전광역시",54.7
"2009.10","울산광역시",72.5
"2009.10","경기도",76.5
"2009.10","강원특별자치도",76.2
"2009.10","충청북도",74.1
"2009.10","충청남도",76.7
"2009.10","전북특별자치도",77.9
"2009.10","전라남도",75.1
"2009.10","경상북도",79.3
"2009.10","경상남도",75.7
"2009.10","제주특별자치도",59.2
"2009.11","서울특별시",81.2
"2009.11","부산광역시",59.0
"2009.11","대구광역시",52.9
"2009.11","인천광역시",80.1
"2009.11","광주광역시",62.3
"2009.11","대전광역시",55.2
"2009.11","울산광역시",73.0
"2009.11","경기도",76.5
"2009.11","강원특별자치도",76.5
"2009.11","충청북도",74.3
"2009.11","충청남도",76.9
"2009.11","전북특별자치도",78.7
"2009.11","전라남도",75.2
"2009.11","경상북도",79.5
"2009.11","경상남도",76.3
"2009.11","제주특별자치도",59.8
"2009.12","서울특별시",81.2
"2009.12","부산광역시",59.5
"2009.12","대구광역시",53.1
"2009.12","인천광역시",80.1
"2009.12","광주광역시",62.4
"2009.12","대전광역시",55.6
"2009.12","울산광역시",73.3
"2009.12","경기도",76.3
"2009.12","강원특별자치도",76.7
"2009.12","충청북도",74.5
"2009.12","충청남도",77.0
"2009.12","전북특별자치도",79.4
"2009.12","전라남도",75.8
"2009.12","경상북도",79.6
"2009.12","경상남도",76.5
"2009.12","제주특별자치도",60.1
"2010.01","서울특별시",81.3
"2010.01","부산광역시",59.9
"2010.01","대구광역시",53.1
"2010.01","인천광역시",80.1
"2010.01","광주광역시",62.5
"2010.01","대전광역시",55.9
"2010.01","울산광역시",73.6
"2010.01","경기도",76.3
"2010.01","강원특별자치도",76.8
"2010.01","충청북도",74.7
"2010.01","충청남도",77.1
"2010.01","전북특별자치도",79.8
"2010.01","전라남도",76.2
"2010.01","경상북도",79.6
"2010.01","경상남도",76.7
"2010.01","제주특별자치도",60.4
"2010.02","서울특별시",81.5
"2010.02","부산광역시",60.6
"2010.02","대구광역시",53.2
"2010.02","인천광역시",80.0
"2010.02","광주광역시",62.6
"2010.02","대전광역시",56.6
"2010.02","울산광역시",73.9
"2010.02","경기도",76.3
"2010.02","강원특별자치도",77.0
"2010.02","충청북도",75.0
"2010.02","충청남도",77.2
"2010.02","전북특별자치도",80.5
"2010.02","전라남도",76.7
"2010.02","경상북도",79.7
"2010.02","경상남도",77.3
"2010.02","제주특별자치도",61.1
"2010.03","서울특별시",81.4
"2010.03","부산광역시",61.5
"2010.03","대구광역시",53.3
"2010.03","인천광역시",80.0
"2010.03","광주광역시",62.7
"2010.03","대전광역시",57.0
"2010.03","울산광역시",74.1
"2010.03","경기도",76.2
"2010.03","강원특별자치도",77.4
"2010.03","충청북도",75.2
"2010.03","충청남도",77.4
"2010.03","전북특별자치도",81.2
"2010.03","전라남도",77.4
"2010.03","경상북도",79.6
"2010.03","경상남도",78.0
"2010.03","제주특별자치도",61.4
"2010.04","서울특별시",81.4
"2010.04","부산광역시",62.5
"2010.04","대구광역시",53.4
"2010.04","인천광역시",79.9
"2010.04","광주광역시",62.8
"2010.04","대전광역시",57.5
"2010.04","울산광역시",74.5
"2010.04","경기도",76.0
"2010.04","강원특별자치도",77.6
"2010.04","충청북도",75.6
"2010.04","충청남도",77.5
"2010.04","전북특별자치도",81.8
"2010.04","전라남도",77.8
"2010.04","경상북도",79.6
"2010.04","경상남도",78.6
"2010.04","제주특별자치도",61.9
"2010.05","서울특별시",81.0
"2010.05","부산광역시",63.3
"2010.05","대구광역시",53.4
"2010.05","인천광역시",79.6
"2010.05","광주광역시",62.9
"2010.05","대전광역시",57.8
"2010.05","울산광역시",75.0
"2010.05","경기도",75.5
"2010.05","강원특별자치도",77.7
"2010.05","충청북도",76.0
"2010.05","충청남도",77.6
"2010.05","전북특별자치도",82.4
"2010.05","전라남도",78.2
"2010.05","경상북도",79.5
"2010.05","경상남도",79.6
"2010.05","제주특별자치도",62.5
"2010.06","서울특별시",80.7
"2010.06","부산광역시",64.0
"2010.06","대구광역시",53.4
"2010.06","인천광역시",79.2
"2010.06","광주광역시",63.1
"2010.06","대전광역시",57.9
"2010.06","울산광역시",75.1
"2010.06","경기도",75.0
"2010.06","강원특별자치도",77.7
"2010.06","충청북도",76.3
"2010.06","충청남도",77.6
"2010.06","전북특별자치도",83.6
"2010.06","전라남도",78.3
"2010.06","경상북도",79.3
"2010.06","경상남도",80.5
"2010.06","제주특별자치도",63.3
"2010.07","서울특별시",80.3
"2010.07","부산광역시",64.5
"2010.07","대구광역시",53.4
"2010.07","인천광역시",78.7
"2010.07","광주광역시",63.1
"2010.07","대전광역시",58.0
"2010.07","울산광역시",75.2
"2010.07","경기도",74.3
"2010.07","강원특별자치도",78.0
"2010.07","충청북도",76.7
"2010.07","충청남도",77.6
"2010.07","전북특별자치도",85.0
"2010.07","전라남도",78.6
"2010.07","경상북도",79.1
"2010.07","경상남도",81.0
"2010.07","제주특별자치도",64.4
"2010.08","서울특별시",79.9
"2010.08","부산광역시",65.0
"2010.08","대구광역시",53.5
"2010.08","인천광역시",78.4
"2010.08","광주광역시",63.2
"2010.08","대전광역시",58.3
"2010.08","울산광역시",75.3
"2010.08","경기도",73.9
"2010.08","강원특별자치도",78.2
"2010.08","충청북도",76.9
"2010.08","충청남도",77.7
"2010.08","전북특별자치도",85.5
"2010.08","전라남도",78.8
"2010.08","경상북도",78.9
"2010.08","경상남도",81.7
"2010.08","제주특별자치도",64.6
"2010.09","서울특별시",79.7
"2010.09","부산광역시",65.6
"2010.09","대구광역시",53.6
"2010.09","인천광역시",78.2
"2010.09","광주광역시",63.4
"2010.09","대전광역시",58.7
"2010.09","울산광역시",75.5
"2010.09","경기도",73.7
"2010.09","강원특별자치도",78.3
"2010.09","충청북도",77.3
"2010.09","충청남도",77.7
"2010.09","전북특별자치도",86.2
"2010.09","전라남도",79.1
"2010.09","경상북도",78.9
"2010.09","경상남도",82.5
"2010.09","제주특별자치도",64.7
"2010.10","서울특별시",79.6
"2010.10","부산광역시",66.6
"2010.10","대구광역시",53.7
"2010.10","인천광역시",78.1
"2010.10","광주광역시",63.6
"2010.10","대전광역시",59.1
"2010.10","울산광역시",75.7
"2010.10","경기도",73.6
"2010.10","강원특별자치도",78.4
"2010.10","충청북도",77.9
"2010.10","충청남도",77.7
"2010.10","전북특별자치도",86.8
"2010.10","전라남도",79.4
"2010.10","경상북도",79.0
"2010.10","경상남도",83.5
"2010.10","제주특별자치도",64.8
"2010.11","서울특별시",79.5
"2010.11","부산광역시",67.9
"2010.11","대구광역시",54.0
"2010.11","인천광역시",77.9
"2010.11","광주광역시",64.0
"2010.11","대전광역시",59.7
"2010.11","울산광역시",76.1
"2010.11","경기도",73.5
"2010.11","강원특별자치도",78.4
"2010.11","충청북도",78.6
"2010.11","충청남도",77.9
"2010.11","전북특별자치도",87.5
"2010.11","전라남도",80.2
"2010.11","경상북도",79.6
"2010.11","경상남도",85.5
"2010.11","제주특별자치도",65.5
"2010.12","서울특별시",79.5
"2010.12","부산광역시",69.1
"2010.12","대구광역시",54.2
"2010.12","인천광역시",77.8
"2010.12","광주광역시",64.5
"2010.12","대전광역시",60.7
"2010.12","울산광역시",76.3
"2010.12","경기도",73.6
"2010.12","강원특별자치도",78.6
"2010.12","충청북도",79.3
"2010.12","충청남도",78.1
"2010.12","전북특별자치도",88.4
"2010.12","전라남도",80.6
"2010.12","경상북도",79.8
"2010.12","경상남도",87.2
"2010.12","제주특별자치도",66.1
"2011.01","서울특별시",79.6
"2011.01","부산광역시",70.3
"2011.01","대구광역시",54.5
"2011.01","인천광역시",77.8
"2011.01","광주광역시",65.1
"2011.01","대전광역시",61.6
"2011.01","울산광역시",76.8
"2011.01","경기도",73.7
"2011.01","강원특별자치도",78.9
"2011.01","충청북도",80.0
"2011.01","충청남도",78.3
"2011.01","전북특별자치도",89.1
"2011.01","전라남도",81.0
"2011.01","경상북도",80.4
"2011.01","경상남도",88.8
"2011.01","제주특별자치도",66.8
"2011.02","서울특별시",79.8
"2011.02","부산광역시",72.0
"2011.02","대구광역시",55.1
"2011.02","인천광역시",77.8
"2011.02","광주광역시",66.3
"2011.02","대전광역시",63.1
"2011.02","울산광역시",77.6
"2011.02","경기도",74.0
"2011.02","강원특별자치도",79.5
"2011.02","충청북도",81.3
"2011.02","충청남도",78.7
"2011.02","전북특별자치도",90.8
"2011.02","전라남도",81.7
"2011.02","경상북도",80.6
"2011.02","경상남도",91.2
"2011.02","제주특별자치도",67.4
"2011.03","서울특별시",80.0
"2011.03","부산광역시",73.9
"2011.03","대구광역시",55.9
