"시점","시군구별",데이터
"2000","전국",1.480
"2000","서울특별시",1.275
"2000","부산광역시",1.235
"2000","대구광역시",1.378
"2000","인천광역시",1.473
"2000","광주광역시",1.636
"2000","대전광역시",1.501
"2000","울산광역시",1.633
"2000","세종특별자치시",-
"2000","경기도",1.628
"2000","강원특별자치도",1.600
"2000","충청북도",1.583
"2000","충청남도",1.698
"2000","전라북도",1.595
"2000","전라남도",1.750
"2000","경상북도",1.578
"2000","경상남도",1.586
"2000","제주특별자치도",1.783
"2001","전국",1.309
"2001","서울특별시",1.111
"2001","부산광역시",1.103
"2001","대구광역시",1.216
"2001","인천광역시",1.324
"2001","광주광역시",1.421
"2001","대전광역시",1.330
"2001","울산광역시",1.423
"2001","세종특별자치시",-
"2001","경기도",1.437
"2001","강원특별자치도",1.413
"2001","충청북도",1.426
"2001","충청남도",1.532
"2001","전라북도",1.426
"2001","전라남도",1.566
"2001","경상북도",1.402
"2001","경상남도",1.417
"2001","제주특별자치도",1.564
"2002","전국",1.178
"2002","서울특별시",1.006
"2002","부산광역시",0.975
"2002","대구광역시",1.076
"2002","인천광역시",1.185
"2002","광주광역시",1.264
"2002","대전광역시",1.207
"2002","울산광역시",1.242
"2002","세종특별자치시",-
"2002","경기도",1.305
"2002","강원특별자치도",1.317
"2002","충청북도",1.294
"2002","충청남도",1.361
"2002","전라북도",1.275
"2002","전라남도",1.391
"2002","경상북도",1.232
"2002","경상남도",1.272
"2002","제주특별자치도",1.394
"2003","전국",1.191
"2003","서울특별시",1.014
"2003","부산광역시",0.988
"2003","대구광역시",1.116
"2003","인천광역시",1.213
"2003","광주광역시",1.278
"2003","대전광역시",1.221
"2003","울산광역시",1.280
"2003","세종특별자치시",-
"2003","경기도",1.321
"2003","강원특별자치도",1.279
"2003","충청북도",1.270
"2003","충청남도",1.358
"2003","전라북도",1.274
"2003","전라남도",1.389
"2003","경상북도",1.253
"2003","경상남도",1.290
"2003","제주특별자치도",1.438
"2004","전국",1.164
"2004","서울특별시",1.015
"2004","부산광역시",0.953
"2004","대구광역시",1.087
"2004","인천광역시",1.158
"2004","광주광역시",1.203
"2004","대전광역시",1.181
"2004","울산광역시",1.241
"2004","세종특별자치시",-
"2004","경기도",1.280
"2004","강원특별자치도",1.261
"2004","충청북도",1.272
"2004","충청남도",1.357
"2004","전라북도",1.239
"2004","전라남도",1.360
"2004","경상북도",1.203
"2004","경상남도",1.266
"2004","제주특별자치도",1.365
"2005","전국",1.085
"2005","서울특별시",0.932
"2005","부산광역시",0.887
"2005","대구광역시",1.001
"2005","인천광역시",1.075
"2005","광주광역시",1.105
"2005","대전광역시",1.107
"2005","울산광역시",1.186
"2005","세종특별자치시",-
"2005","경기도",1.183
"2005","강원특별자치도",1.188
"2005","충청북도",1.195
"2005","충청남도",1.267
"2005","전라북도",1.184
"2005","전라남도",1.290
"2005","경상북도",1.173
"2005","경상남도",1.189
"2005","제주특별자치도",1.310
"2006","전국",1.132
"2006","서울특별시",0.980
"2006","부산광역시",0.915
"2006","대구광역시",1.011
"2006","인천광역시",1.116
"2006","광주광역시",1.152
"2006","대전광역시",1.158
"2006","울산광역시",1.242
"2006","세종특별자치시",-
"2006","경기도",1.239
"2006","강원특별자치도",1.202
"2006","충청북도",1.233
"2006","충청남도",1.356
"2006","전라북도",1.213
"2006","전라남도",1.337
"2006","경상북도",1.208
"2006","경상남도",1.254
"2006","제주특별자치도",1.372
"2007","전국",1.259
"2007","서울특별시",1.068
"2007","부산광역시",1.024
"2007","대구광역시",1.137
"2007","인천광역시",1.257
"2007","광주광역시",1.262
"2007","대전광역시",1.274
"2007","울산광역시",1.403
"2007","세종특별자치시",-
"2007","경기도",1.361
"2007","강원특별자치도",1.356
"2007","충청북도",1.398
"2007","충청남도",1.506
"2007","전라북도",1.380
"2007","전라남도",1.542
"2007","경상북도",1.369
"2007","경상남도",1.434
"2007","제주특별자치도",1.489
"2008","전국",1.192
"2008","서울특별시",1.010
"2008","부산광역시",0.980
"2008","대구광역시",1.072
"2008","인천광역시",1.186
"2008","광주광역시",1.198
"2008","대전광역시",1.215
"2008","울산광역시",1.338
"2008","세종특별자치시",-
"2008","경기도",1.285
"2008","강원특별자치도",1.253
"2008","충청북도",1.319
"2008","충청남도",1.444
"2008","전라북도",1.305
"2008","전라남도",1.449
"2008","경상북도",1.313
"2008","경상남도",1.368
"2008","제주특별자치도",1.386
"2009","전국",1.149
"2009","서울특별시",0.962
"2009","부산광역시",0.940
"2009","대구광역시",1.029
"2009","인천광역시",1.143
"2009","광주광역시",1.137
"2009","대전광역시",1.156
"2009","울산광역시",1.308
"2009","세종특별자치시",-
"2009","경기도",1.226
"2009","강원특별자치도",1.248
"2009","충청북도",1.317
"2009","충청남도",1.408
"2009","전라북도",1.279
"2009","전라남도",1.445
"2009","경상북도",1.274
"2009","경상남도",1.323
"2009","제주특별자치도",1.378
"2010","전국",1.226
"2010","서울특별시",1.015
"2010","부산광역시",1.045
"2010","대구광역시",1.109
"2010","인천광역시",1.214
"2010","광주광역시",1.223
"2010","대전광역시",1.205
"2010","울산광역시",1.369
"2010","세종특별자치시",-
"2010","경기도",1.309
"2010","강원특별자치도",1.313
"2010","충청북도",1.402
"2010","충청남도",1.479
"2010","전라북도",1.374
"2010","전라남도",1.537
"2010","경상북도",1.377
"2010","경상남도",1.413
"2010","제주특별자치도",1.463
"2011","전국",1.244
"2011","서울특별시",1.014
"2011","부산광역시",1.078
"2011","대구광역시",1.146
"2011","인천광역시",1.232
"2011","광주광역시",1.234
"2011","대전광역시",1.261
"2011","울산광역시",1.393
"2011","세종특별자치시",-
"2011","경기도",1.314
"2011","강원특별자치도",1.338
"2011","충청북도",1.428
"2011","충청남도",1.496
"2011","전라북도",1.405
"2011","전라남도",1.568
"2011","경상북도",1.434
"2011","경상남도",1.446
"2011","제주특별자치도",1.487
"2012","전국",1.297
"2012","서울특별시",1.059
"2012","부산광역시",1.135
"2012","대구광역시",1.217
"2012","인천광역시",1.301
"2012","광주광역시",1.295
"2012","대전광역시",1.315
"2012","울산광역시",1.481
"2012","세종특별자치시",1.597
"2012","경기도",1.355
"2012","강원특별자치도",1.374
"2012","충청북도",1.485
"2012","충청남도",1.571
"2012","전라북도",1.440
"2012","전라남도",1.642
"2012","경상북도",1.489
"2012","경상남도",1.503
"2012","제주특별자치도",1.598
"2013","전국",1.187
"2013","서울특별시",0.968
"2013","부산광역시",1.049
"2013","대구광역시",1.127
"2013","인천광역시",1.195
"2013","광주광역시",1.170
"2013","대전광역시",1.234
"2013","울산광역시",1.391
"2013","세종특별자치시",1.435
"2013","경기도",1.226
"2013","강원특별자치도",1.249
"2013","충청북도",1.365
"2013","충청남도",1.442
"2013","전라북도",1.320
"2013","전라남도",1.518
"2013","경상북도",1.379
"2013","경상남도",1.367
"2013","제주특별자치도",1.427
"2014","전국",1.205
"2014","서울특별시",0.983
"2014","부산광역시",1.090
"2014","대구광역시",1.169
"2014","인천광역시",1.212
"2014","광주광역시",1.199
"2014","대전광역시",1.250
"2014","울산광역시",1.437
"2014","세종특별자치시",1.354
"2014","경기도",1.241
"2014","강원특별자치도",1.248
"2014","충청북도",1.363
"2014","충청남도",1.421
"2014","전라북도",1.329
"2014","전라남도",1.497
"2014","경상북도",1.408
"2014","경상남도",1.409
"2014","제주특별자치도",1.481
"2015","전국",1.239
"2015","서울특별시",1.001
"2015","부산광역시",1.139
"2015","대구광역시",1.216
"2015","인천광역시",1.216
"2015","광주광역시",1.207
"2015","대전광역시",1.277
"2015","울산광역시",1.486
"2015","세종특별자치시",1.893
"2015","경기도",1.272
"2015","강원특별자치도",1.311
"2015","충청북도",1.414
"2015","충청남도",1.480
"2015","전라북도",1.352
"2015","전라남도",1.549
"2015","경상북도",1.464
"2015","경상남도",1.437
"2015","제주특별자치도",1.477
"2016","전국",1.172
"2016","서울특별시",0.940
"2016","부산광역시",1.095
"2016","대구광역시",1.186
"2016","인천광역시",1.144
"2016","광주광역시",1.168
"2016","대전광역시",1.192
"2016","울산광역시",1.418
"2016","세종특별자치시",1.821
"2016","경기도",1.194
"2016","강원특별자치도",1.237
"2016","충청북도",1.358
"2016","충청남도",1.395
"2016","전라북도",1.251
"2016","전라남도",1.466
"2016","경상북도",1.396
"2016","경상남도",1.358
"2016","제주특별자치도",1.432
"2017","전국",1.052
"2017","서울특별시",0.836
"2017","부산광역시",0.976
"2017","대구광역시",1.067
"2017","인천광역시",1.007
"2017","광주광역시",1.053
"2017","대전광역시",1.075
"2017","울산광역시",1.261
"2017","세종특별자치시",1.668
"2017","경기도",1.069
"2017","강원특별자치도",1.123
"2017","충청북도",1.235
"2017","충청남도",1.276
"2017","전라북도",1.151
"2017","전라남도",1.325
"2017","경상북도",1.256
"2017","경상남도",1.227
"2017","제주특별자치도",1.305
"2018","전국",0.977
"2018","서울특별시",0.761
"2018","부산광역시",0.899
"2018","대구광역시",0.987
"2018","인천광역시",1.006
"2018","광주광역시",0.972
"2018","대전광역시",0.952
"2018","울산광역시",1.131
"2018","세종특별자치시",1.566
"2018","경기도",1.002
"2018","강원특별자치도",1.067
"2018","충청북도",1.172
"2018","충청남도",1.186
"2018","전라북도",1.044
"2018","전라남도",1.240
"2018","경상북도",1.167
"2018","경상남도",1.122
"2018","제주특별자치도",1.220
"2019","전국",0.918
"2019","서울특별시",0.717
"2019","부산광역시",0.827
"2019","대구광역시",0.932
"2019","인천광역시",0.940
"2019","광주광역시",0.913
"2019","대전광역시",0.883
"2019","울산광역시",1.084
"2019","세종특별자치시",1.472
"2019","경기도",0.943
"2019","강원특별자치도",1.082
"2019","충청북도",1.050
"2019","충청남도",1.112
"2019","전라북도",0.971
"2019","전라남도",1.234
"2019","경상북도",1.089
"2019","경상남도",1.046
"2019","제주특별자치도",1.145
"2020","전국",0.837
"2020","서울특별시",0.642
"2020","부산광역시",0.747
"2020","대구광역시",0.807
"2020","인천광역시",0.829
"2020","광주광역시",0.811
"2020","대전광역시",0.805
"2020","울산광역시",0.984
"2020","세종특별자치시",1.277
"2020","경기도",0.878
"2020","강원특별자치도",1.036
"2020","충청북도",0.983
"2020","충청남도",1.029
"2020","전라북도",0.909
"2020","전라남도",1.145
"2020","경상북도",1.003
"2020","경상남도",0.945
"2020","제주특별자치도",1.021
"2021","전국",0.808
"2021","서울특별시",0.626
"2021","부산광역시",0.728
"2021","대구광역시",0.785
"2021","인천광역시",0.778
"2021","광주광역시",0.896
"2021","대전광역시",0.810
"2021","울산광역시",0.940
"2021","세종특별자치시",1.277
"2021","경기도",0.853
"2021","강원특별자치도",0.979
"2021","충청북도",0.949
"2021","충청남도",0.963
"2021","전라북도",0.850
"2021","전라남도",1.017
"2021","경상북도",0.966
"2021","경상남도",0.903
"2021","제주특별자치도",0.951
"2022","전국",0.778
"2022","서울특별시",0.593
"2022","부산광역시",0.723
"2022","대구광역시",0.757
"2022","인천광역시",0.747
"2022","광주광역시",0.844
"2022","대전광역시",0.842
"2022","울산광역시",0.848
"2022","세종특별자치시",1.121
"2022","경기도",0.839
"2022","강원특별자치도",0.968
"2022","충청북도",0.871
"2022","충청남도",0.909
"2022","전라북도",0.817
"2022","전라남도",0.969
"2022","경상북도",0.930
"2022","경상남도",0.838
"2022","제주특별자치도",0.919
"2023","전국",0.721
"2023","서울특별시",0.552
"2023","부산광역시",0.664
"2023","대구광역시",0.702
"2023","인천광역시",0.694
"2023","광주광역시",0.706
"2023","대전광역시",0.787
"2023","울산광역시",0.814
"2023","세종특별자치시",0.971
"2023","경기도",0.766
"2023","강원특별자치도",0.893
"2023","충청북도",0.886
"2023","충청남도",0.842
"2023","전라북도",0.780
"2023","전라남도",0.972
"2023","경상북도",0.860
"2023","경상남도",0.799
"2023","제주특별자치도",0.827
