시점,지역,인구밀도(명/km2)
2000,강원,89.70
2000,경기,886.40
2000,경남,283.20
2000,경북,143.20
2000,광주,2697.80
2000,대구,2801.00
2000,대전,2534.50
2000,부산,4820.40
2000,서울,16342.20
2000,세종,nan
2000,울산,960.40
2000,인천,2566.20
2000,전남,166.60
2000,전북,234.90
2000,제주,278.00
2000,충남,214.90
2000,충북,197.30
2001,강원,89.40
2001,경기,914.74
2001,경남,284.66
2001,경북,141.98
2001,광주,2723.74
2001,대구,2798.10
2001,대전,2562.20
2001,부산,4778.20
2001,서울,16317.96
2001,세종,nan
2001,울산,966.82
2001,인천,2562.22
2001,전남,163.42
2001,전북,232.22
2001,제주,279.96
2001,충남,215.86
2001,충북,197.14
2002,강원,89.10
2002,경기,943.08
2002,경남,286.12
2002,경북,140.76
2002,광주,2749.68
2002,대구,2795.20
2002,대전,2589.90
2002,부산,4736.00
2002,서울,16293.72
2002,세종,nan
2002,울산,973.24
2002,인천,2558.24
2002,전남,160.24
2002,전북,229.54
2002,제주,281.92
2002,충남,216.82
2002,충북,196.98
2003,강원,88.80
2003,경기,971.42
2003,경남,287.58
2003,경북,139.54
2003,광주,2775.62
2003,대구,2792.30
2003,대전,2617.60
2003,부산,4693.80
2003,서울,16269.48
2003,세종,nan
2003,울산,979.66
2003,인천,2554.26
2003,전남,157.06
2003,전북,226.86
2003,제주,283.88
2003,충남,217.78
2003,충북,196.82
2004,강원,88.50
2004,경기,999.76
2004,경남,289.04
2004,경북,138.32
2004,광주,2801.56
2004,대구,2789.40
2004,대전,2645.30
2004,부산,4651.60
2004,서울,16245.24
2004,세종,nan
2004,울산,986.08
2004,인천,2550.28
2004,전남,153.88
2004,전북,224.18
2004,제주,285.84
2004,충남,218.74
2004,충북,196.66
2005,강원,88.20
2005,경기,1028.10
2005,경남,290.50
2005,경북,137.10
2005,광주,2827.50
2005,대구,2786.50
2005,대전,2673.00
2005,부산,4609.40
2005,서울,16221.00
2005,세종,nan
2005,울산,992.50
2005,인천,2546.30
2005,전남,150.70
2005,전북,221.50
2005,제주,287.80
2005,충남,219.70
2005,충북,196.50
2006,강원,88.20
2006,경기,1046.34
2006,경남,292.40
2006,경북,137.00
2006,광주,2851.12
2006,대구,2782.68
2006,대전,2694.64
2006,부산,4577.98
2006,서울,16214.58
2006,세종,nan
2006,울산,998.46
2006,인천,2554.54
2006,전남,149.00
2006,전북,221.26
2006,제주,287.78
2006,충남,222.76
2006,충북,197.88
2007,강원,88.20
2007,경기,1064.58
2007,경남,294.30
2007,경북,136.90
2007,광주,2874.74
2007,대구,2778.86
2007,대전,2716.28
2007,부산,4546.56
2007,서울,16208.16
2007,세종,nan
2007,울산,1004.42
2007,인천,2562.78
2007,전남,147.30
2007,전북,221.02
2007,제주,287.76
2007,충남,225.82
2007,충북,199.26
2008,강원,88.20
2008,경기,1082.82
2008,경남,296.20
2008,경북,136.80
2008,광주,2898.36
2008,대구,2775.04
2008,대전,2737.92
2008,부산,4515.14
2008,서울,16201.74
2008,세종,nan
2008,울산,1010.38
2008,인천,2571.02
2008,전남,145.60
2008,전북,220.78
2008,제주,287.74
2008,충남,228.88
2008,충북,200.64
2009,강원,88.20
2009,경기,1101.06
2009,경남,298.10
2009,경북,136.70
2009,광주,2921.98
2009,대구,2771.22
2009,대전,2759.56
2009,부산,4483.72
2009,서울,16195.32
2009,세종,nan
2009,울산,1016.34
2009,인천,2579.26
2009,전남,143.90
2009,전북,220.54
2009,제주,287.72
2009,충남,231.94
2009,충북,202.02
2010,강원,88.20
2010,경기,1119.30
2010,경남,300.00
2010,경북,136.60
2010,광주,2945.60
2010,대구,2767.40
2010,대전,2781.20
2010,부산,4452.30
2010,서울,16188.90
2010,세종,nan
2010,울산,1022.30
2010,인천,2587.50
2010,전남,142.20
2010,전북,220.30
2010,제주,287.70
2010,충남,235.00
2010,충북,203.40
2011,강원,88.60
2011,경기,1140.72
2011,경남,303.28
2011,경북,137.44
2011,광주,2956.24
2011,대구,2772.12
2011,대전,2795.42
2011,부산,4457.82
2011,서울,16223.92
2011,세종,nan
2011,울산,1037.76
2011,인천,2621.10
2011,전남,142.98
2011,전북,221.72
2011,제주,295.66
2011,충남,239.32
2011,충북,205.64
2012,강원,89.00
2012,경기,1162.14
2012,경남,306.56
2012,경북,138.28
2012,광주,2966.88
2012,대구,2776.84
2012,대전,2809.64
2012,부산,4463.34
2012,서울,16258.94
2012,세종,nan
2012,울산,1053.22
2012,인천,2654.70
2012,전남,143.76
2012,전북,223.14
2012,제주,303.62
2012,충남,243.64
2012,충북,207.88
2013,강원,89.40
2013,경기,1183.56
2013,경남,309.84
2013,경북,139.12
2013,광주,2977.52
2013,대구,2781.56
2013,대전,2823.86
2013,부산,4468.86
2013,서울,16293.96
2013,세종,nan
2013,울산,1068.68
2013,인천,2688.30
2013,전남,144.54
2013,전북,224.56
2013,제주,311.58
2013,충남,247.96
2013,충북,210.12
2014,강원,89.80
2014,경기,1204.98
2014,경남,313.12
2014,경북,139.96
2014,광주,2988.16
2014,대구,2786.28
2014,대전,2838.08
2014,부산,4474.38
2014,서울,16328.98
2014,세종,nan
2014,울산,1084.14
2014,인천,2721.90
2014,전남,145.32
2014,전북,225.98
2014,제주,319.54
2014,충남,252.28
2014,충북,212.36
2015,강원,90.20
2015,경기,1226.40
2015,경남,316.40
2015,경북,140.80
2015,광주,2998.80
2015,대구,2791.00
2015,대전,2852.30
2015,부산,4479.90
2015,서울,16364.00
2015,세종,439.00
2015,울산,1099.60
2015,인천,2755.50
2015,전남,146.10
2015,전북,227.40
2015,제주,327.50
2015,충남,256.60
2015,충북,214.60
2016,강원,90.40
2016,경기,1244.40
2016,경남,316.90
2016,경북,140.90
2016,광주,2995.70
2016,대구,2785.30
2016,대전,2846.90
2016,부산,4468.80
2016,서울,16202.20
2016,세종,521.70
2016,울산,1099.20
2016,인천,2741.40
2016,전남,145.80
2016,전북,227.20
2016,제주,337.10
2016,충남,259.20
2016,충북,216.50
2017,강원,90.40
2017,경기,1261.60
2017,경남,317.40
2017,경북,140.70
2017,광주,2985.30
2017,대구,2776.20
2017,대전,2828.50
2017,부산,4437.40
2017,서울,16095.80
2017,세종,595.00
2017,울산,1090.40
2017,인천,2752.30
2017,전남,145.30
2017,전북,226.30
2017,제주,346.90
2017,충남,262.90
2017,충북,217.50
2018,강원,90.30
2018,경기,1286.20
2018,경남,317.90
2018,경북,140.40
2018,광주,2973.20
2018,대구,2766.70
2018,대전,2801.00
2018,부산,4409.80
2018,서울,15983.70
2018,세종,671.90
2018,울산,1083.40
2018,인천,2761.40
2018,전남,145.00
2018,전북,225.30
2018,제주,355.80
2018,충남,265.10
2018,충북,218.80
2019,강원,90.30
2019,경기,1305.00
2019,경남,317.60
2019,경북,140.20
2019,광주,2972.70
2019,대구,2750.30
2019,대전,2777.50
2019,부산,4379.70
2019,서울,15926.90
2019,세종,727.30
2019,울산,1076.90
2019,인천,2776.60
2019,전남,144.80
2019,전북,224.00
2019,제주,359.40
2019,충남,265.40
2019,충북,220.00
2020,강원,90.40
2020,경기,1325.30
2020,경남,316.20
2020,경북,138.90
2020,광주,2948.50
2020,대구,2728.60
2020,대전,2758.10
2020,부산,4348.90
2020,서울,15839.00
2020,세종,761.30
2020,울산,1069.00
2020,인천,2765.10
2020,전남,144.90
2020,전북,223.40
2020,제주,362.60
2020,충남,264.00
2020,충북,220.30
2021,강원,90.40
2021,경기,1338.90
2021,경남,313.60
2021,경북,138.40
2021,광주,2944.00
2021,대구,2702.20
2021,대전,2742.80
2021,부산,4316.40
2021,서울,15650.10
2021,세종,787.70
2021,울산,1055.00
2021,인천,2772.80
2021,전남,143.90
2021,전북,221.40
2021,제주,363.80
2021,충남,263.80
2021,충북,219.40
2022,강원,90.80
2022,경기,1344.90
2022,경남,311.20
2022,경북,137.70
2022,광주,2931.90
2022,대구,2673.70
2022,대전,2730.70
2022,부산,4272.80
2022,서울,15560.70
2022,세종,822.90
2022,울산,1044.90
2022,인천,2801.30
2022,전남,143.30
2022,전북,219.80
2022,제주,365.60
2022,충남,265.90
2022,충북,219.40
2023,강원,90.80
2023,경기,1354.50
2023,경남,310.30
2023,경북,140.60
2023,광주,2908.50
2023,대구,1586.70
2023,대전,2724.00
2023,부산,4252.00
2023,서울,15506.40
2023,세종,830.70
2023,울산,1042.00
2023,인천,2835.70
2023,전남,143.70
2023,전북,219.10
2023,제주,365.80
2023,충남,268.70
2023,충북,221.60
