"시점",출생아수(명),사망자수(명),합계출산율
"1983",769155,254563,-
"1984",674793,236445,-
"1985",655489,240418,-
"1986",636019,239256,-
"1987",623831,243504,-
"1988",633092,235779,-
"1989",639431,236818,-
"1990",649738,241616,-
"1991",709275,242270,-
"1992",730678,236162,-
"1993",715826,234257,1.65
"1994",721185,242439,1.66
"1995",715020,242838,1.63
"1996",691226,241149,1.57
"1997",675394,244693,1.54
"1998",641594,245825,1.46
"1999",620668,247734,1.43
"2000",640089,248740,1.48
"2001",559934,243813,1.31
"2002",496911,247524,1.18
"2003",495036,246463,1.19
"2004",476958,246220,1.16
"2005",438707,245874,1.09
"2006",451759,244162,1.13
"2007",496822,246482,1.26
"2008",465892,246113,1.19
"2009",444849,246942,1.15
"2010",470171,255405,1.23
"2011",471265,257396,1.24
"2012",484550,267221,1.30
"2013",436455,266257,1.19
"2014",435435,267692,1.21
"2015",438420,275895,1.24
"2016",406243,280827,1.17
"2017",357771,285534,1.05
"2018",326822,298820,0.98
"2019",302676,295110,0.92
"2020",272337,304948,0.84
"2021",260562,317680,0.81
"2022",249186,372939,0.78
"2023",230028,352700,0.72